metric_group,count,pos,neg,tp,tn,fp,fn,f1,acc,fpr,recall,auroc,target_f1,f1_diff,target_acc,acc_diff,target_fpr,fpr_diff,target_recall,recall_diff,target_auroc,auroc_diff
overall_all,31233,16551,14682,13024,12511,2171,3527,0.8205128205128206,0.8175647552268434,0.14786813785587793,0.7869010935895112,0.891113458995128,0.816,0.004512820512820648,0.8146,0.002964755226843363,0.1419,0.005968137855877936,0.776,0.01090109358951119,0.8962,-0.005086541004872047
overall_overlap,6433,3539,2894,2824,2571,323,715,0.8447502243493867,0.8386444893517799,0.11161022805805114,0.797965526985024,0.9056348716142157,0.8448,-4.9775650613259614e-05,0.8386,4.448935177991942e-05,0.1116,1.0228058051134359e-05,0.798,-3.447301497605526e-05,0.924,-0.0183651283857843
overall_single,24800,13012,11788,10200,9940,1848,2812,0.814046288906624,0.8120967741935484,0.15676959619952494,0.7838917921918229,0.8875364526086489,0.8084,0.005646288906623997,0.8084,0.0036967741935484133,0.1493,0.007469596199524947,0.7701,0.013791792191822916,0.8888,-0.0012635473913511497
s2_all,14718,7413,7305,6450,5956,1349,963,0.848014725216934,0.8429134393259954,0.18466803559206024,0.8700930797248078,0.9103269290412637,0.848,1.4725216934019514e-05,0.8428,0.0001134393259953903,0.1848,-0.00013196440793974973,0.8701,-6.920275192223713e-06,0.9192,-0.008873070958736351
s2_overlap,3444,1788,1656,1473,1440,216,315,0.8472821397756686,0.8458188153310104,0.13043478260869565,0.8238255033557047,0.9106736131375026,0.8473,-1.786022433147849e-05,0.8458,1.8815331010446634e-05,0.1304,3.478260869566041e-05,0.8238,2.5503355704725728e-05,0.9314,-0.020726386862497392
s2_single,11274,5625,5649,4977,4516,1133,648,0.8482317852577759,0.8420259003015789,0.20056647194193664,0.8848,0.9116040675832499,0.8482,3.178525777591812e-05,0.8419,0.0001259003015788851,0.2007,-0.00013352805806335355,0.8848,0.0,0.9157,-0.004095932416750103
l89_all,10679,5415,5264,3570,4780,484,1845,0.7540394973070019,0.7819084183912351,0.0919452887537994,0.6592797783933518,0.8711407402885714,0.7541,-6.0502692998065655e-05,0.7819,8.418391235109901e-06,0.0919,4.528875379940234e-05,0.6593,-2.0221606648163082e-05,0.8815,-0.010359259711428592
l89_overlap,3292,1724,1568,1299,1422,146,425,0.8198169769643421,0.8265492102065614,0.09311224489795919,0.7534802784222738,0.8981602392987358,0.8198,1.6976964342108047e-05,0.8265,4.921020656134534e-05,0.0931,1.2244897959187706e-05,0.7535,-1.9721577726117268e-05,0.9185,-0.020339760701264198
l89_single,7387,3691,3696,2271,3358,338,1420,0.720952380952381,0.7620143495329633,0.09145021645021645,0.6152804118125169,0.8592797972369903,0.7209,5.2380952381025914e-05,0.762,1.4349532963309208e-05,0.0915,-4.978354978354971e-05,0.6153,-1.9588187483043917e-05,0.8659,-0.006620202763009675
emit_all,8955,5349,3606,4228,3157,449,1121,0.8434071414322761,0.824678950307091,0.1245146977260122,0.7904281174051224,0.9016495015111082,0.8434,7.141432276092097e-06,0.8247,-2.1049692908947648e-05,0.1245,1.4697726012202761e-05,0.7904,2.8117405122429773e-05,0.9101,-0.008450498488891789
emit_overlap,3443,1989,1454,1508,1287,167,481,0.8231441048034934,0.8117920418239907,0.11485557083906466,0.7581699346405228,0.8905168246538907,0.8231,4.41048034933722e-05,0.8118,-7.958176009292828e-06,0.1149,-4.442916093534699e-05,0.7582,-3.0065359477138287e-05,0.9039,-0.013383175346109333
emit_single,5512,3360,2152,2720,1870,282,640,0.8550770198050928,0.8327285921625545,0.13104089219330856,0.8095238095238095,0.908285205346079,0.8551,-2.2980194907207263e-05,0.8327,2.859216255446384e-05,0.131,4.089219330855043e-05,0.8095,2.3809523809537048e-05,0.9141,-0.005814794653920985
s5p_all,3985,2308,1677,1963,1447,230,345,0.872250610975339,0.8557089084065245,0.13714967203339296,0.8505199306759099,0.9112543392147195,0.8722,5.061097533898273e-05,0.8557,8.908406524454904e-06,0.134,0.0031496720333929473,0.8487,0.0018199306759099088,0.911,0.00025433921471951226
s5p_overlap,3358,1972,1386,1731,1251,135,241,0.9020323084940074,0.8880285884455033,0.09740259740259741,0.8777890466531441,0.9360555350666911,0.9021,-6.769150599261753e-05,0.888,2.8588445503241466e-05,0.0981,-0.0006974025974025994,0.8783,-0.0005109533468559135,0.9549,-0.018844464933308824
s5p_single,627,336,291,232,196,95,104,0.6998491704374057,0.682615629984051,0.32646048109965636,0.6904761904761905,0.7822880870561283,0.6999,-5.0829562594278954e-05,0.6826,1.5629984051024337e-05,0.3265,-3.951890034364913e-05,0.6905,-2.3809523809537048e-05,0.72,0.062288087056128316
