event_id,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
tan20250922t180834c89s4001|2025-09-22T18:08:34Z,64,32,0.796875,0.7936507936507936,0.78125,0.1875,25,6,7,26,0.9267578125,0.45996703125000005,2025-09-22 18:08:34+00:00,46.8888518037635,-96.86444751166226
tan20251002t113418c72s4001|2025-10-02T11:34:18Z,16,0,1.0,0.0,0.0,0.0,0,0,0,16,,0.205725,2025-10-02 11:34:18+00:00,29.822980668663632,0.5687130900940929
tan20251011t180457c82s4001|2025-10-11T18:04:57Z,32,16,0.9375,0.9411764705882353,1.0,0.125,16,2,0,14,1.0,0.5626037500000001,2025-10-11 18:04:57+00:00,19.653753995261965,-99.27778400423313
tan20251012t062639c77s4001|2025-10-12T06:26:39Z,64,32,0.703125,0.7323943661971831,0.8125,0.40625,26,13,6,19,0.7568359375,0.49944578125,2025-10-12 06:26:39+00:00,38.747523625780474,80.06072382184979
tan20251018t180351c20s4001|2025-10-18T18:03:51Z,32,16,0.6875,0.5833333333333334,0.4375,0.0625,7,1,9,15,0.7578125,0.26824187499999996,2025-10-18 18:03:51+00:00,28.41142015751604,-98.23226588992286
tan20251019t185503c73s4001|2025-10-19T18:55:03Z,71,32,0.5633802816901409,0.4745762711864407,0.4375,0.3333333333333333,14,13,18,26,0.5717147435897437,0.4543867605633802,2025-10-19 18:55:03+00:00,36.893520575629225,-107.41854044647037
tan20251019t185820c43s4001|2025-10-19T18:58:20Z,96,48,0.9479166666666666,0.9494949494949495,0.9791666666666666,0.08333333333333333,47,4,1,44,0.9930555555555556,0.5563614583333334,2025-10-19 18:58:20+00:00,23.025533690360504,-110.02784714679531
tan20251023t192013c16s4001|2025-10-23T19:20:13Z,32,16,0.96875,0.9696969696969697,1.0,0.0625,16,1,0,15,1.0,0.5691487500000001,2025-10-23 19:20:13+00:00,43.43254294717707,-111.8584016547686
tan20251023t192133c27s4001|2025-10-23T19:21:33Z,64,32,0.859375,0.8656716417910447,0.90625,0.1875,29,6,3,26,0.9423828125,0.5353075,2025-10-23 19:21:33+00:00,40.65064258106243,-112.04356956623441
tan20251024t123433c76s4001|2025-10-24T12:34:33Z,32,16,0.84375,0.8648648648648649,1.0,0.3125,16,5,0,11,0.984375,0.64710625,2025-10-24 12:34:33+00:00,14.802560763954205,-17.310717671648206
tan20251026t185609c70s4001|2025-10-26T18:56:09Z,48,16,0.6041666666666666,0.3448275862068966,0.3125,0.25,5,8,11,24,0.71875,0.38404854166666674,2025-10-26 18:56:09+00:00,36.56092285201867,-108.11272700597222
tan20251026t185747c96s4001|2025-10-26T18:57:47Z,16,0,0.8125,0.0,0.0,0.1875,0,3,0,13,,0.281640625,2025-10-26 18:57:47+00:00,29.251692959163805,-111.06107314937448
tan20251027t071853c17s4001|2025-10-27T07:18:53Z,32,16,0.65625,0.7441860465116279,1.0,0.6875,16,11,0,5,0.6015625,0.658678125,2025-10-27 07:18:53+00:00,51.21484940566452,71.53048767337506
tan20251029t165840c68s4001|2025-10-29T16:58:40Z,32,0,0.96875,0.0,0.0,0.03125,0,1,0,31,,0.2564725,2025-10-29 16:58:40+00:00,28.392622284469752,-80.83372489191669
tan20251103t153206c13s4001|2025-11-03T15:32:06Z,64,32,0.953125,0.9538461538461539,0.96875,0.0625,31,2,1,30,0.99609375,0.5695278125000001,2025-11-03 15:32:06+00:00,-45.64878266125002,-67.85079327735379
tan20251103t181705c30s4001|2025-11-03T18:17:05Z,13,0,0.6153846153846154,0.0,0.0,0.38461538461538464,0,5,0,8,,0.37244615384615376,2025-11-03 18:17:05+00:00,35.403376066583974,-97.46087800642538
tan20251103t181812c90s4001|2025-11-03T18:18:12Z,16,0,0.8125,0.0,0.0,0.1875,0,3,0,13,,0.33240875,2025-11-03 18:18:12+00:00,33.135046719994705,-97.56463086272568
tan20251105t025809c59s4001|2025-11-05T02:58:09Z,32,16,0.875,0.8888888888888888,1.0,0.25,16,4,0,12,0.89453125,0.5253531250000001,2025-11-05 02:58:09+00:00,35.126015853710214,128.8728485494304
tan20251107t062048c93s4001|2025-11-07T06:20:48Z,32,0,0.8125,0.0,0.0,0.1875,0,6,0,26,,0.338128125,2025-11-07 06:20:48+00:00,26.797669547065123,80.78623453282628
tan20251107t062156c75s4001|2025-11-07T06:21:56Z,16,0,1.0,0.0,0.0,0.0,0,0,0,16,,0.2664375,2025-11-07 06:21:56+00:00,21.141669991825395,79.15175142118136
tan20251107t092600c95s4001|2025-11-07T09:26:00Z,32,16,0.9375,0.9411764705882353,1.0,0.125,16,2,0,14,0.95703125,0.48629500000000003,2025-11-07 09:26:00+00:00,30.281578209376,31.35803571310228
tan20251107t184759c22s4001|2025-11-07T18:47:59Z,5,0,0.2,0.0,0.0,0.8,0,4,0,1,,0.55274,2025-11-07 18:47:59+00:00,23.224358813274385,-106.3603035229394
tan20251110t181847c70s4001|2025-11-10T18:18:47Z,16,0,0.625,0.0,0.0,0.375,0,6,0,10,,0.41989375,2025-11-10 18:18:47+00:00,35.50619236329278,-98.1814382768546
tan20251110t182038c80s4001|2025-11-10T18:20:38Z,64,32,0.640625,0.43902439024390244,0.28125,0.0,9,0,23,32,0.8271484375,0.32444703125,2025-11-10 18:20:38+00:00,28.176483791885126,-99.21785934865004
tan20251111t064957c63s4001|2025-11-11T06:49:57Z,144,64,0.5763888888888888,0.35789473684210527,0.265625,0.175,17,14,47,66,0.594140625,0.3197527777777778,2025-11-11 06:49:57+00:00,19.01933284503875,72.94440080409545
tan20251114t155705c41s4001|2025-11-14T15:57:05Z,32,16,0.90625,0.9142857142857143,1.0,0.1875,16,3,0,13,1.0,0.624808125,2025-11-14 15:57:05+00:00,-35.328492569734074,-71.64615846854885
tan20251114t171353c35s4001|2025-11-14T17:13:53Z,16,0,0.875,0.0,0.0,0.125,0,2,0,14,,0.2617675,2025-11-14 17:13:53+00:00,28.394363661499256,-80.83535455926314
tan20251116t111447c62s4001|2025-11-16T11:14:47Z,32,16,0.90625,0.9142857142857143,1.0,0.1875,16,3,0,13,1.0,0.6054937499999999,2025-11-16 11:14:47+00:00,28.65154977681547,7.684948654898704
tan20251121t155316c73s4001|2025-11-21T15:53:16Z,16,0,0.1875,0.0,0.0,0.8125,0,13,0,3,,0.7275125,2025-11-21 15:53:16+00:00,-16.437754457461807,-68.21206961323577
tan20251122t085053c41s4001|2025-11-22T08:50:53Z,32,16,0.5625,0.6956521739130435,1.0,0.875,16,14,0,2,0.59765625,0.755375,2025-11-22 08:50:53+00:00,21.27468071449026,40.47947607347473
tan20251123t111432c58s4001|2025-11-23T11:14:32Z,64,32,0.71875,0.7804878048780488,1.0,0.5625,32,18,0,14,0.96630859375,0.709648125,2025-11-23 11:14:32+00:00,30.700911900979534,7.9539213652358
tan20251123t111541c66s4001|2025-11-23T11:15:41Z,96,48,0.9479166666666666,0.9504950495049505,1.0,0.10416666666666667,48,5,0,43,0.9800347222222222,0.5807632291666667,2025-11-23 11:15:41+00:00,28.639865507112376,7.612605278903828
tan20251124t152954c49s4001|2025-11-24T15:29:54Z,32,16,0.9375,0.9411764705882353,1.0,0.125,16,2,0,14,1.0,0.58566625,2025-11-24 15:29:54+00:00,-24.296427472600385,-65.15786246995118
tan20251202t051643c84s4001|2025-12-02T05:16:43Z,96,48,0.6770833333333334,0.5230769230769231,0.3541666666666667,0.0,17,0,31,48,0.8739149305555555,0.31621020833333335,2025-12-02 05:16:43+00:00,27.303303067718186,95.16982966348581
tan20251202t051739c02s4001|2025-12-02T05:17:39Z,48,16,0.7083333333333334,0.2222222222222222,0.125,0.0,2,0,14,32,0.658203125,0.18102083333333333,2025-12-02 05:17:39+00:00,26.936544243524285,94.76248704772512
tan20251202t145346c52s4001|2025-12-02T14:53:46Z,64,32,0.9375,0.9375,0.9375,0.0625,30,2,2,30,0.958984375,0.5380015625,2025-12-02 14:53:46+00:00,-34.66579638837555,-55.89042666226527
tan20251202t145444c58s4001|2025-12-02T14:54:44Z,64,32,0.9375,0.9375,0.9375,0.0625,30,2,2,30,0.990234375,0.46394359374999994,2025-12-02 14:54:44+00:00,-38.06770749434431,-57.64980529002712
tan20251202t174555c37s4001|2025-12-02T17:45:55Z,32,16,0.5,0.0,0.0,0.0,0,0,16,16,0.76171875,0.2730475,2025-12-02 17:45:55+00:00,18.07455873623651,-93.0436521435826
tan20251203t074458c65s4001|2025-12-03T07:44:58Z,64,32,0.65625,0.7441860465116279,1.0,0.6875,32,22,0,10,0.6943359375,0.6746671875,2025-12-03 07:44:58+00:00,23.33883517760752,58.45466755314489
tan20251204t070258c50s4001|2025-12-04T07:02:58Z,32,16,0.5,0.1111111111111111,0.0625,0.0625,1,1,15,15,0.90234375,0.30101187500000004,2025-12-04 07:02:58+00:00,31.38595500808428,73.24543389055407
tan20251205t031525c07s4001|2025-12-05T03:15:25Z,32,16,0.78125,0.7741935483870968,0.75,0.1875,12,3,4,13,0.875,0.5108209375,2025-12-05 03:15:25+00:00,35.085142001027606,126.89334015771465
tan20251205t171941c72s4001|2025-12-05T17:19:41Z,32,16,0.90625,0.9142857142857143,1.0,0.1875,16,3,0,13,0.93359375,0.47446875,2025-12-05 17:19:41+00:00,21.207235932033967,-86.95140912753908
tan20251206t040726c48s4001|2025-12-06T04:07:26Z,32,16,0.65625,0.7441860465116279,1.0,0.6875,16,11,0,5,0.5390625,0.7114625,2025-12-06 04:07:26+00:00,39.62643662262769,116.5213018573391
tan20251207t190449c98s4001|2025-12-07T19:04:49Z,64,32,0.984375,0.9841269841269841,0.96875,0.0,31,0,1,32,1.0,0.48052640625,2025-12-07 19:04:49+00:00,25.989023912795346,-109.01356797350861
tan20251208t121013c97s4001|2025-12-08T12:10:13Z,96,48,0.6041666666666666,0.7164179104477612,1.0,0.7916666666666666,48,38,0,10,0.681640625,0.7211291666666666,2025-12-08 12:10:13+00:00,33.97904458455355,-5.149217262025577
tan20251210t154518c46s4001|2025-12-10T15:45:18Z,32,16,0.8125,0.8421052631578947,1.0,0.375,16,6,0,10,1.0,0.6962003125,2025-12-10 15:45:18+00:00,-24.85519766693926,-65.3781277830923
tan20251212t110124c67s4001|2025-12-12T11:01:24Z,32,16,0.65625,0.5217391304347826,0.375,0.0625,6,1,10,15,0.931640625,0.32997750000000003,2025-12-12 11:01:24+00:00,43.52197706263328,16.512877591349707
tan20251212t124141c56s4001|2025-12-12T12:41:41Z,32,16,0.875,0.8888888888888888,1.0,0.25,16,4,0,12,0.9609375,0.560234375,2025-12-12 12:41:41+00:00,14.802848015310246,-17.31097224189503
tan20251213t181012c94s4001|2025-12-13T18:10:12Z,73,32,0.6986301369863014,0.7380952380952381,0.96875,0.5121951219512195,31,21,1,20,0.8338414634146342,0.5854890410958904,2025-12-13 18:10:12+00:00,35.485873760505044,-97.41932079084688
tan20251214t064159c38s4001|2025-12-14T06:41:59Z,32,16,0.8125,0.8421052631578947,1.0,0.375,16,6,0,10,0.91015625,0.6731165625,2025-12-14 06:41:59+00:00,18.660214561012552,73.8559489507767
tan20251214t080904c51s4001|2025-12-14T08:09:04Z,672,336,0.6175595238095238,0.7001166861143524,0.8928571428571429,0.6577380952380952,300,221,36,115,0.718967013888889,0.6332220238095237,2025-12-14 08:09:04+00:00,39.47198359375503,53.75114467224736
tan20251217t061657c48s4001|2025-12-17T06:16:57Z,64,32,0.8125,0.8421052631578947,1.0,0.375,32,12,0,20,0.88671875,0.64581765625,2025-12-17 06:16:57+00:00,13.111445986889919,77.65251766555667
tan20251217t184037c76s4001|2025-12-17T18:40:37Z,1,0,1.0,0.0,0.0,0.0,0,0,0,1,,0.4744,2025-12-17 18:40:37+00:00,23.222579098372933,-106.35608858997688
tan20251218t053253c97s4001|2025-12-18T05:32:53Z,256,128,0.6953125,0.625,0.5078125,0.1171875,65,15,63,113,0.8291015625,0.38406,2025-12-18 05:32:53+00:00,27.33700410464095,95.25276062701477
tan20251218t070615c01s4001|2025-12-18T07:06:15Z,8,0,1.0,0.0,0.0,0.0,0,0,0,8,,0.2371625,2025-12-18 07:06:15+00:00,27.968661418934943,69.80980628982178
