period,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
cutoff,2839,1200,0.7953504755195492,0.7741935483870968,0.83,0.2300183038438072,996,377,204,1262,0.8725376245678259,0.5018598414934837,2025-08-06 07:24:24+00:00,25.706317215873103,-25.424401049443606
post_cutoff,8159,3792,0.7280303958818483,0.7175766832124221,0.7434071729957806,0.28532173116555987,2819,1246,973,3121,0.811633617686929,0.4979453859541611,2025-11-03 15:32:06+00:00,25.529951228764713,12.905315750356285
