lat_bin,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
"(-30.0, 0.0]",639,304,0.8200312989045383,0.8377997179125529,0.9769736842105263,0.32238805970149254,297,108,7,227,0.9468136292223095,0.6169515399061033,2025-08-20 15:29:27+00:00,-20.671418716232623,-14.691884273824948
"(-90.001, -30.0]",592,288,0.8547297297297297,0.86084142394822,0.9236111111111112,0.21052631578947367,266,64,22,240,0.8969298245614035,0.5539752364864865,2025-09-18 00:55:28+00:00,-36.29047679068955,34.30658597374212
"(0.0, 30.0]",3562,1616,0.7703537338573835,0.739821882951654,0.7196782178217822,0.18756423432682426,1163,365,453,1581,0.8557525973563442,0.46044228523301517,2025-08-16 17:58:05+00:00,22.961413168108017,1.5465963596390888
"(30.0, 60.0]",6189,2784,0.712231378251737,0.7011243497231079,0.7503591954022989,0.31894273127753303,2089,1086,695,2319,0.7949166202508143,0.504533885926644,2025-08-06 07:24:24+00:00,37.656774076675504,2.518677269609029
"(60.0, 90.0]",16,0,1.0,0.0,0.0,0.0,0,0,0,16,,0.1672175,2025-08-14 08:10:13+00:00,70.3610628606537,68.50887047878697
