lon_bin,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
"(-180.001, -90.0]",2791,1248,0.7710498029380151,0.7569418029669076,0.7972756410256411,0.25016202203499677,995,386,253,1157,0.8674623402628913,0.5039452776782515,2025-08-16 17:58:05+00:00,31.948984815104865,-104.20460465027665
"(-90.0, 0.0]",1832,816,0.8225982532751092,0.8111563044741429,0.8553921568627451,0.20374015748031496,698,207,118,809,0.9044708680716381,0.5094236189956332,2025-08-08 16:57:44+00:00,3.9173932993421534,-60.0069603186204
"(0.0, 90.0]",4337,1984,0.7000230574129582,0.6844530681542567,0.7111895161290323,0.30939226519337015,1411,728,573,1625,0.7848458085422865,0.496314014295596,2025-08-06 07:24:24+00:00,32.74616142675828,46.307495145179026
"(90.0, 180.0]",2038,944,0.7374877330716388,0.7266223811957078,0.753177966101695,0.2760511882998172,711,302,233,792,0.8005366327890188,0.4883352669283611,2025-09-08 04:09:56+00:00,21.05629214924038,114.35073261323836
