id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
113195,ang20221003t181100-E,5077,-1.3880392637852697,0.11926812416795973,1.472450747062386,-0.2570316468607155,1.933572076809032,-0.2585662638636773,1.7873878201420854,-0.24942203209356412
594,GAO20191020t173137p0000-A,1129,-1.2391803134468191,-0.18053851150939518,1.693959221202819,-0.33271631232494236,1.7188443408126561,-0.31422120535441284,1.7151263246943358,-0.2920981342063313
260819,tan20250926t074509c45s4001-G,12045,-0.20038116362678415,-0.12220606068205808,-1.0824275799448848,0.34054649697034395,-0.7867691802084862,0.34940739636098717,0.5461062867842752,0.13261112037228118
232858,tan20250502t041843c00s4001-C,17998,-0.7409668070063571,-0.7038413417040192,0.5799476533499476,0.40386282126489287,0.737986633813585,0.5903469059668939,0.8139736229446886,0.7372760362516763
190047,emi20241217t045523p03003-C,49372,1.0956147561975487,-0.48362021362717605,0.6203689425105346,-4.062114193582391,-0.0406774838276816,-4.0654944032448395,0.46944180951518427,-1.9466871641037002
162160,emi20240217t052632p04005-A,45761,0.7766529372026714,0.24229182131794483,0.17930665897910295,-0.39880647718042117,0.07476871560923767,-0.3884848525154879,0.33495666337192054,-1.010679616926505
111359,ang20220630t194620-B,11215,-0.11517841813184715,0.11509930003614847,0.8173135666835752,-0.8612864179372284,0.608594294646017,-0.5455222424686997,0.4309111180516472,-0.11345010977142345
259011,tan20250916t080902c00s4001-T,10674,-0.12534050945341535,-0.0041974244904435035,0.07102436589630443,0.39919264579584524,0.09377584745676225,0.34568711790169254,-0.001065123807360525,0.3168638051164439
97202,ang20190928t190948-A,1689,0.7203963280176408,-0.17334777028458923,-0.2892492418589698,-0.19254766823806194,-0.43582074386162917,-0.1546630046925812,0.018414539499489273,-0.5618990235145157
85496,ang20170616t200614-A,3418,-0.033373902465852034,0.18123564881567794,0.003947501037407278,0.5096813297357536,0.011904767910917005,0.47066012502803983,0.15960419097623638,0.16673734533082366
7180,GAO20200714t160234p0000-E,4152,-0.02309755548840396,0.6708783145731524,0.19858954888292754,-0.3875786170177577,0.16710231692666297,-0.49040789016861785,0.408513079960133,-0.6804286466670184
218212,tan20250202t073029c00s4001-B,6100,0.3665859777831455,-0.10209636604838873,0.14956375547392295,-0.15527397605356513,0.0844433371609678,-0.1283965001300905,0.4204678308209901,-0.2734084842132647
228696,tan20250416t070757c00s4001-F,11396,-0.7404619405917428,0.18275074151277665,-0.27105635956476426,-0.06755099445293371,0.13407162159360966,-0.1318133177130898,0.3026674226058081,-0.3014762910651103
251294,tan20250803t171011c58s4001-C,8199,-1.5045466629392816,0.21767586305101974,1.941831739553325,-0.16822509860637128,2.260709530502423,-0.2786661833025283,2.735376018993536,-0.37543109082671194
229958,tan20250422t092022c00s4001-A,37276,0.34599781179119093,-0.7102226481261363,-1.3612962705204592,0.33680885449373205,-0.8869681171345069,0.8329213578454018,1.9953383201051933,0.06804257003356179
228388,tan20250414t034957c00s4001-O,32224,-0.14677630234184805,-0.5518433728072338,0.2606817899782312,-1.2285390478872509,0.28191029126366407,-0.9357711583054309,0.9014660460801333,-0.6722331883633552
91438,ang20171016t213300-A,3220,-0.7119834287924744,0.8033199056041049,0.5073054262505857,-0.7063451254128148,0.56685216887939,-0.7734372334509619,0.647183248063253,-0.7091205089733615
5003,GAO20191026t153935p0000-A,3050,0.22893148252636383,0.027943767931692218,0.007567006606136309,-0.963769127996605,-0.05647117754541937,-0.8996314962596885,0.04187671636605982,-0.9463501559174672
12843,GAO20200724t164043p0000-A,2559,-0.6466572005592893,-0.015662314644084123,0.4501730460442156,0.014382681560010916,0.48415692718525427,0.0043938778539424385,0.279382651247475,-0.19211757731695175
6811,GAO20200714t154912p0000-C,1748,-0.23109512171301677,-0.15731535587787576,0.06976353205762054,-0.3372664279254121,0.10621556713647332,-0.2556144633484982,0.49075791732054147,-0.42991605180373976
97119,ang20190928t190948-A,5317,0.9750279225574092,0.1502109005386925,0.2135085595433553,0.6035870457025412,0.12531597085475418,0.5544785489184129,0.18809703174161194,0.4426431415930659
92676,ang20171026t210059-C,2595,-0.3968409540894486,0.15982241850027754,0.4679474907886185,-0.288379325229878,0.6527631985491865,-0.2499973426617303,0.7382073755838959,-0.4856875733269594
96144,ang20181001t202630-D,2073,-0.8291754833001868,0.2589852498667403,-0.944925119964507,0.1641478619412191,-0.6460519520908474,0.03395275345593181,-0.4129331154089139,-0.010649256277507723
104646,ang20200903t195505-A,1845,-0.5840112316766041,-0.5515576604680219,-0.6962966759431697,-0.24677184633793467,-0.42967061698275283,-0.07223901949060005,-0.1362639448762829,0.01727109354633426
104800,ang20200903t201645-D,2247,0.12102056366005298,-0.03882886239549489,-0.30614324110577085,-0.07073829446622709,-0.2939954436961378,-0.03321861525465806,0.1303160706160519,0.12984298533509991
113312,ang20221008t150226-A,5147,-0.4308053422656919,0.12054846887979187,1.1200507193723068,0.28450471458021437,0.8819904275326287,0.15927040604601214,1.7119435125102132,0.2547824478889465
148791,emi20231009t060956p04031-G,48992,-1.2456560262560359,2.814468772074916,0.0984016009533666,-0.49540123925370516,0.42318623526537086,-0.9167797964434522,0.15086480632524804,-0.5398568005340305
16305,GAO20201114t210524p0000-A,3622,0.3713914674930166,-0.04398230898425251,0.24269235721126395,0.6364695819404278,0.08405184034023874,0.5044317963298556,0.20779735323999296,0.04984553518466215
79557,GAO20240611t211114p0000-E,20513,-1.0645542713471352,-0.06962034219179887,0.016670717397656822,0.43988408304939425,0.3534853194600339,0.3947673719834158,0.5180227859437243,0.42491280634581985
1892,GAO20191023t151100p0000-E,1058,-0.46505169227904175,0.5465455874064699,0.7088467985918132,0.7511375494124115,0.8956834097462858,0.6188760258864628,1.0188470605704465,0.8062249626717739
231213,tan20250425t054639c00s4001-K,18967,-0.2963486145471935,0.003866035459328423,-0.9570903431733749,0.09900320783942823,-0.9203337190852916,0.1068735390583142,-0.9709929587277502,0.1406739802220433
87540,ang20170926t183717-B,8789,0.32230004221453235,0.10245569406574295,-0.1715178239423265,0.18419751429476328,-0.24980217663404766,0.07142399561867221,-0.5751302208342878,-0.1537323231482656
89516,ang20171011t200410-A,2902,-0.5729967391253623,-0.20087319818036387,-0.579103515202361,0.4621069181699258,-0.4353764337810028,0.4818815267220465,-0.4707020307769802,0.44807997404303956
4460,GAO20191023t184042p0000-A,3982,-0.5671782690634962,0.42297156631095634,0.9712514263843585,-0.3718314642921304,0.9089745632137444,-0.3940337733096289,0.8313836610773242,-0.3275182385257344
