id,label,source_group,t0_visible_mean,t0_visible_std,t0_visible_gradient,t0_visible_gradient_over_std,t0_visible_patch_mean_std,t0_visible_within_patch_std,t0_rededge_nir_mean,t0_rededge_nir_std,t0_rededge_nir_gradient,t0_rededge_nir_gradient_over_std,t0_rededge_nir_patch_mean_std,t0_rededge_nir_within_patch_std,t0_swir_mean,t0_swir_std,t0_swir_gradient,t0_swir_gradient_over_std,t0_swir_patch_mean_std,t0_swir_within_patch_std,t0_b11_b12_ratio_mean,t0_b11_b12_ratio_std,t90_visible_mean,t90_visible_std,t90_visible_gradient,t90_visible_gradient_over_std,t90_visible_patch_mean_std,t90_visible_within_patch_std,t90_rededge_nir_mean,t90_rededge_nir_std,t90_rededge_nir_gradient,t90_rededge_nir_gradient_over_std,t90_rededge_nir_patch_mean_std,t90_rededge_nir_within_patch_std,t90_swir_mean,t90_swir_std,t90_swir_gradient,t90_swir_gradient_over_std,t90_swir_patch_mean_std,t90_swir_within_patch_std,t90_b11_b12_ratio_mean,t90_b11_b12_ratio_std,t360_visible_mean,t360_visible_std,t360_visible_gradient,t360_visible_gradient_over_std,t360_visible_patch_mean_std,t360_visible_within_patch_std,t360_rededge_nir_mean,t360_rededge_nir_std,t360_rededge_nir_gradient,t360_rededge_nir_gradient_over_std,t360_rededge_nir_patch_mean_std,t360_rededge_nir_within_patch_std,t360_swir_mean,t360_swir_std,t360_swir_gradient,t360_swir_gradient_over_std,t360_swir_patch_mean_std,t360_swir_within_patch_std,t360_b11_b12_ratio_mean,t360_b11_b12_ratio_std,pooled_visible_mean_mean,pooled_visible_mean_max,pooled_visible_mean_range,t0_visible_mean_minus_history,pooled_visible_std_mean,pooled_visible_std_max,pooled_visible_std_range,t0_visible_std_minus_history,pooled_visible_gradient_mean,pooled_visible_gradient_max,pooled_visible_gradient_range,t0_visible_gradient_minus_history,pooled_swir_mean_mean,pooled_swir_mean_max,pooled_swir_mean_range,t0_swir_mean_minus_history,pooled_swir_std_mean,pooled_swir_std_max,pooled_swir_std_range,t0_swir_std_minus_history,visible_texture_proxy_probability,universal360_probability
61731,0,train_label_0_reference,2012.2419531357532,483.76966799571005,23.598987393315063,0.04878145314708803,458.18494224523164,123.19650922972114,2054.262125153525,1497.2582480030926,20.33615213048374,0.013582260880917674,1489.670377152915,108.55179356881997,3564.802228472671,491.0345327166662,31.356334747373104,0.06385769769366943,448.6161610874028,175.0093475697646,0.05955637955846429,0.02382508294196253,1303.7080198099115,571.6462774560075,19.854131337238535,0.03473149764150517,554.4477065906698,105.22242405398782,2503.3622330909684,487.94756654666423,19.241156779673524,0.039432836843205,468.86021941114836,109.60235164160424,3013.532352357495,493.78493096539376,19.865330445010414,0.04023073447416047,473.51058666053086,114.35196445147301,0.0619950497716571,0.030873549014646118,1358.901574921091,603.4995573600811,23.84631771471621,0.03951339719125624,581.4179964619124,126.04460512191834,2513.871582983708,453.4859425763928,21.86436573185779,0.0482139878639669,427.7116245348786,124.33053893278641,3078.316464227073,432.9049863246513,21.04186864971427,0.04860620532084656,408.6024096987372,120.94985783435524,0.058426917828810654,0.025110698427949867,1558.2838948567708,2012.2420654296875,708.5340576171875,680.937255859375,552.9718526204427,603.4995727539062,119.72988891601562,-103.80325317382812,22.43314552307129,23.84632110595703,3.9921913146972656,1.7487602233886719,3218.8837890625,3564.802734375,551.2705078125,518.87841796875,472.57480875651044,493.784912109375,60.879913330078125,27.689559936523438,0.5123938416552356,
105393,0,train_label_0_reference,2520.677776807425,801.6480693579083,11.405850274527708,0.014228001925662205,794.9169797560841,67.90766274135127,2724.1827609295747,1990.3102709437605,9.966481742353844,0.00500750153775168,1988.5360983071214,53.95295452409689,4763.06371395442,1214.913821312889,20.415063218380077,0.016803713037290717,1198.8936354600462,128.95792309972117,0.07200298167582381,0.05545801599812204,787.3775691469104,307.2931225087099,11.598229513192774,0.03774321214385146,292.97641513877875,57.594047176063356,3083.006084733269,768.2056503331427,8.667350462962998,0.011282591398806148,764.8561501189063,47.06676453730359,2219.862022116476,520.3815681468474,13.147624792921322,0.02526535449697398,509.9666520593263,73.15486052876602,0.19983741359831392,0.028208066992284175,979.6154691145128,394.88136106872713,10.9736871414655,0.02778983315840928,384.3151158620864,55.730616055416775,2972.24782836275,643.533785632073,8.139323251868017,0.012647856932443179,640.0162038773171,44.51679647563552,2757.6421621648633,736.5320182435769,12.101702043752042,0.01643065303883356,728.5859321861652,69.89646912151954,0.1587673954512398,0.04243820816794295,1429.2235310872395,2520.677734375,1733.30029296875,1637.1813049316406,501.27419026692706,801.6480712890625,494.3549499511719,450.5608215332031,11.325922012329102,11.598230361938477,0.6245441436767578,0.11989116668701172,3246.855712890625,4763.0634765625,2543.20166015625,2274.3116455078125,823.9424031575521,1214.9136962890625,694.5321655273438,586.4569396972656,0.2796307169071195,
65634,0,train_label_0_reference,2776.645027006767,734.840754754547,13.127927581291027,0.017864996594637767,727.8824708082591,73.40327299405993,3015.7063191066795,2152.296166823596,11.680841534305225,0.005427153434717145,2149.759096986639,67.06179166603384,5654.655088108413,318.0545575771997,13.707081425121242,0.04309663577700563,303.21360840314463,79.17625336695986,0.03697042201978417,0.0048169849318541,1626.9802600543717,698.3890440049248,16.768997138925734,0.024010968217318546,687.5662898162071,89.76124141001377,3202.521225208328,372.28225050264774,18.816440552339426,0.050543480187233904,345.63222450785025,108.18616674966025,4064.881156948148,368.48888567747696,14.298940713553762,0.0388042659340044,350.8594891224076,84.96648116051081,0.05444435342323548,0.01246897456260508,1597.2925544195637,625.4326338063306,17.632885041716463,0.0281931004054013,612.6630085597955,94.47689986087197,3077.2549728041604,386.1451852082921,20.56404082306221,0.05325468660698095,357.14769203303393,119.13109835500207,4016.4645189119847,356.5819831012589,14.588656468852676,0.040912489021381435,339.0427585892769,86.81990124298878,0.056378646756375835,0.014651676412592669,2000.3059488932292,2776.64501953125,1179.352294921875,1164.5086059570312,686.2208251953125,734.8408203125,109.408203125,72.92999267578125,15.843269348144531,17.632884979248047,4.50495719909668,-4.073012351989746,4578.6669921875,5654.65576171875,1638.19189453125,1613.983154296875,347.70848592122394,368.4888916015625,50.434326171875,-44.48088073730469,0.50428418092454,
243995,0,train_label_0_reference,2775.4242902361616,546.122539168244,6.898602034784448,0.012631967260115583,544.6150106260759,33.06559089869363,2568.021774571769,1818.3674903082247,5.177285975379464,0.0028472165296476353,1818.0158832306959,25.81508674563214,4539.175061143174,187.2409007938017,7.759379971569581,0.04144062509138731,181.50621086073124,40.64339288978489,0.0349402285135795,0.006588334922176365,1527.1928302308127,414.0462013306064,13.365322751772855,0.0322797859485757,405.9452178270926,65.76437247473828,2923.8540733963455,286.0283844177682,9.371882129728654,0.03276556677689806,280.0954531845298,49.040079387984775,3121.6197266627332,232.32214838835776,12.879869136040522,0.0554396953772573,217.98217529532073,69.99797027010263,0.04274005031970521,0.012441519581643839,1759.9245064076113,479.1204145636256,8.071574693456206,0.01684665158926207,476.5328562038069,39.313066256250735,2942.405298760959,152.91452306509763,6.908030136258281,0.04517576223494119,146.10896202576504,36.61404458855384,3513.758819013226,174.24939681636013,10.615357295738285,0.06092048230689553,161.30088262152032,58.555702704477355,0.027302640028371947,0.0073975150082725575,2020.84716796875,2775.424072265625,1248.231201171875,1131.8653564453125,479.76304117838544,546.1224975585938,132.0762939453125,99.5391845703125,9.44516658782959,13.365324020385742,6.46672248840332,-3.819847583770752,3724.8511555989585,4539.17529296875,1417.55615234375,1221.4862060546875,197.9374796549479,232.32215881347656,58.07276916503906,-16.044883728027344,0.2053084596994298,
104582,0,train_label_0_reference,1499.059345723415,237.7037256348957,11.00982390726934,0.046317422572417014,224.94855042995673,55.407066068396446,1651.6607498940157,1209.0233235599237,10.239790001664945,0.0084694726744512,1206.7023082932187,52.88925820303601,2861.4119994652515,512.6306482185993,20.924583413064823,0.04081804996595137,495.649708813842,114.57952413916178,0.1145808234668644,0.014254386246176073,623.1308939484309,305.0338294576072,15.811400846400986,0.051834909178814254,285.220538891527,79.69714122582957,1910.5613239819095,402.1035204350639,18.885550156837088,0.046966885881534914,382.12765355807534,103.50704257441522,2098.4570137177193,467.4584961643971,19.50907714362331,0.04173435139953537,450.9670296318142,110.04476295711453,0.1779520845642192,0.029967381202898814,665.8453314926247,319.54072230409014,16.165096528976104,0.050588533481477925,300.75822804518054,82.21057672486893,1931.0106528377046,395.33020930642414,18.93496633141106,0.04789658337679525,375.67122506857254,104.74904937949266,2079.742950399311,444.64993415461265,18.584922984805647,0.04179675191033165,428.99342096832885,104.53239671910985,0.17755636047748438,0.03161188535264535,929.3451741536459,1499.0594482421875,875.9285888671875,854.5714111328125,287.42608642578125,319.54071044921875,81.83697509765625,-74.58352661132812,14.328774134318033,16.165096282958984,5.155271530151367,-4.978424072265625,2346.537353515625,2861.412109375,781.669189453125,772.3121337890625,474.9130452473958,512.6306762695312,67.980712890625,56.576446533203125,0.2997568282459596,
91484,0,train_label_0_reference,1483.8513556609348,287.64712589762877,12.955394557773266,0.0450391934817523,273.39750132116757,66.96575926819366,1982.9311357193253,1564.1111039191514,15.558054239964246,0.00994689840189795,1559.1008530294232,85.70611919817418,2904.2601725130667,622.4314057085277,25.563466723342493,0.04107033560468085,600.1047548098568,142.85578091637433,0.13630819368028793,0.0370814416898538,720.6361172512478,310.91631089928217,16.429280192557243,0.05284148697454256,289.1503087959403,84.39079914675995,2744.5737880916417,1014.1379884643349,24.666913192699333,0.024323034412754196,996.7915325061326,142.73071195766238,2446.5048777692173,631.3968957543374,24.99090561387174,0.03958034285869399,607.7397069616528,144.02381872975602,0.19913804535025806,0.05837350247365838,4864.803158554496,695.6438043682276,20.52790207041142,0.02950921425808504,681.1353105428336,120.72694474913115,5190.514272926616,626.919506564137,16.963261839520236,0.027058117767762915,615.439035261401,101.71685571656597,4898.470108251182,681.9266266456318,14.875475444219418,0.02181389443229582,674.1145613195268,89.21613101792471,0.06793957045924409,0.007869987700702824,2356.4303588867188,4864.8037109375,4144.167541503906,-1308.8687438964844,431.40240478515625,695.643798828125,407.9967041015625,-215.63296508789062,16.63752619425456,20.527902603149414,7.572507858276367,-5.523197174072266,3416.4119466145835,4898.470703125,2451.9658203125,-768.2275390625,645.2516479492188,681.9266357421875,59.4952392578125,-34.230377197265625,0.2016231674324464,
236412,0,train_label_0_reference,2850.8868885770135,572.2015364166228,5.328575965764047,0.009312411146488576,571.2353138740477,27.610951202116834,2687.4756043078946,1902.3660007021595,4.008009281520938,0.0021068549795578715,1902.1515898985087,21.226400524622065,4853.6602071061425,106.95852961951695,6.17273084847,0.057711440783902175,100.61279247523355,33.029432370220874,0.014966161758212687,0.005033469913835493,1933.5292294238295,587.1550045225943,10.038666978697988,0.017097132616386804,583.5806710637619,47.848915847097345,3032.2615099407376,148.20711598114133,10.859944898502302,0.07327546202224312,129.8679766792653,56.809803634525,3936.7968704919426,146.6634242399016,11.516409148778921,0.07852270740618465,126.31329558834581,62.848118353060855,-0.01681163953451211,0.005244887629430333,1976.7655229288705,599.0000556107949,6.702306023474919,0.011189157598058382,597.4757966711427,32.7375237988471,3075.6239694786723,121.23276784290283,8.145879732857345,0.06719206265597291,108.68970549616833,44.262151581772486,4020.8524296040437,134.19922571074088,9.012972859218287,0.06716113905638517,120.43122920774312,50.665466787879396,-0.01983694625392465,0.003409900894851771,2253.727254231771,2850.88720703125,917.35791015625,895.7399291992188,586.1188761393229,599.0000610351562,26.79852294921875,-20.876007080078125,7.356516202290853,10.038666725158691,4.710090637207031,-3.041910171508789,4270.436604817708,4853.66015625,916.86328125,874.8353271484375,129.2737248738607,146.66342163085938,39.70488739013672,-33.47278594970703,0.3285088307807774,
255118,0,train_label_0_reference,2048.8172629804026,548.9814839404775,19.243513226738195,0.03505311889321325,513.8676619465023,112.21768131459038,2393.9444069237934,1942.212625529221,25.797784284167683,0.013282677676517632,1929.0906200508232,145.75551102066,2544.345616917221,830.9848967546636,32.507908630493276,0.039119734615454475,796.7237765027044,187.57674418201816,0.16602512470437314,0.06342367393282053,622.6609066283064,363.89994752576223,21.488008504987604,0.05904922122437614,322.4669586909508,115.4437606421183,3625.300628497031,1186.751666037746,36.14581443752816,0.030457774336403166,1158.493992431272,201.80208498313922,2019.7184336377043,753.2073661493938,25.526752882474206,0.03389073717238599,730.9374019746206,151.78588574905046,0.3129372271725355,0.07295955813293357,6212.827152947686,4457.559780601499,68.80544450602265,0.015435675098615974,4413.767439047171,454.03095897690577,6528.497206541754,3534.6120300634434,58.571131746967,0.016570738527678156,3497.758707356718,383.16656876149574,4150.992032560767,2558.2556713077024,52.08901431039692,0.02036114485921206,2525.769022545073,326.30131996218415,0.18339134694063597,0.11922967839819819,2961.4349772135415,6212.82666015625,5590.165771484375,-1368.9263916015625,1790.1471659342449,4457.56005859375,4093.660125732422,-1861.7484893798828,36.51232401529948,68.80545043945312,49.56193733215332,-25.90321636199951,2905.018839518229,4150.99267578125,2131.2742919921875,-541.0100708007812,1380.8159993489583,2558.255615234375,1805.0482177734375,-824.7465209960938,0.013026738736415267,
230273,0,train_label_0_reference,1502.9471876268485,193.40910612882226,8.35659464622903,0.04320683143358839,183.77182373670217,42.86336961472732,2018.6047450640574,1512.3672055628194,16.812007078879056,0.011116352574322422,1507.0949267435624,87.48177693881672,2675.1780661235052,473.69370660715094,19.26224270086881,0.040663919389673446,458.81011426560315,103.92554208778114,0.14781097555774297,0.023849946070897722,436.20247504183527,184.61085043401587,8.718888152378785,0.047228470763667894,173.54399227279322,45.76545038234857,1337.545994276599,346.7585321758395,17.032866418552583,0.04912025181233407,326.52198746956617,96.7033488982335,1578.0779324624002,428.2726738628642,20.579708135410577,0.0480528163279461,401.8855125288455,125.05304389680367,0.17365451794102688,0.03433065550487352,312.95453527402515,186.05097675699622,7.8559155440307595,0.042224532657474195,176.22235510927905,41.25093598439237,2260.937797851506,731.4490661663937,28.420543447967372,0.038855123018917255,705.5785043886842,158.83616521343777,1282.7302336187995,469.00542709722816,17.19216915921169,0.03665665292109217,453.1698636464227,99.17391101293416,0.3059773868558587,0.047249580544329955,750.701426188151,1502.947265625,1189.9927368164062,1128.3687591552734,188.0236358642578,193.4091033935547,8.798263549804688,8.078201293945312,8.310465812683105,8.718887329101562,0.862971305847168,0.06919240951538086,1845.3288981119792,2675.178466796875,1392.4482421875,1244.7743530273438,456.99061075846356,473.6937255859375,45.421051025390625,25.054672241210938,0.36790160886387446,
251810,0,train_label_0_reference,1868.6635757988813,363.7689699493474,15.228618205777352,0.041863433837959964,347.32505191722,82.76545435610694,1878.0418130479702,1354.864903999053,14.952665607770896,0.011036277907587861,1350.2764023895086,80.05576054340503,3902.5452068216946,597.1599651091117,28.113913328963775,0.04707936729118615,567.6672265532212,160.15139360805313,0.10535493879503656,0.013264260277406207,709.6449156007444,270.302834944511,12.999782359462607,0.048093399990167554,254.0099575598411,70.55355990006312,1845.0346024012078,415.50253180932856,20.79529957177673,0.05004855080238009,392.7481117591666,115.70350353386588,2359.971743334313,471.91101034856854,22.572496734927054,0.047832104443281134,446.46679524514775,132.49073371788592,0.12607318366165202,0.0366715841308194,811.5059031349967,323.5138380864073,12.31926853327626,0.03807957213250923,311.03476576258333,65.93532438378531,2115.4953704241184,401.45842421104203,16.33650027160433,0.04069288196831167,387.5349595343125,90.19453177212357,2603.6784169090038,535.945231554565,19.49516801876872,0.036375298950269516,518.411753705462,114.33843240627385,0.15712366391133278,0.024372215813814116,1129.9380696614583,1868.6634521484375,1159.0186157226562,1108.0880737304688,319.19521077473956,363.76898193359375,93.46615600585938,66.86065673828125,13.515889803568522,15.228618621826172,2.9093494415283203,2.5690932273864746,2955.3984375,3902.545166015625,1542.573486328125,1420.7200927734375,535.0054016113281,597.1599731445312,125.24899291992188,93.23185729980469,0.43029883805777125,
