plume_id,has_all6_files,has_all6_center_nonzero,zero_or_missing_timepoints
GAO20191022t185651p0000-C,True,True,0
GAO20191022t185651p0000-D,True,True,0
GAO20191022t185651p0000-E,True,True,0
GAO20191101t174632p0000-A,True,True,0
GAO20191101t174632p0000-B,True,True,0
GAO20191101t175852p0000-A,True,False,6
GAO20191101t175852p0000-B,True,True,0
GAO20191101t181517p0000-A,True,False,6
GAO20191101t181517p0000-B,True,True,0
GAO20191101t181517p0000-E,True,False,6
GAO20191101t182727p0000-C,True,False,6
GAO20191101t182727p0000-E,True,False,6
GAO20191101t182727p0000-F,True,False,6
GAO20191101t182727p0000-G,True,False,6
GAO20191101t182727p0000-H,True,False,6
GAO20191101t182727p0000-I,True,True,0
GAO20191101t184322p0000-A,True,True,0
GAO20191101t184322p0000-B,True,False,6
GAO20191101t184322p0000-C,True,True,0
GAO20200714t172448p0000-H,True,True,0
GAO20200715t180121p0000-A,True,True,0
GAO20200715t180121p0000-B,True,True,0
GAO20200715t180121p0000-C,True,True,0
GAO20200715t180121p0000-D,True,True,0
GAO20200715t180121p0000-E,True,False,6
GAO20200715t180121p0000-F,True,True,0
GAO20200715t180121p0000-G,True,True,0
GAO20200715t182609p0000-A,True,True,0
GAO20200715t182609p0000-B,True,False,1
GAO20200715t182609p0000-C,True,True,0
GAO20200715t182609p0000-E,True,True,0
GAO20200715t182609p0000-I,True,True,0
GAO20200715t182609p0000-J,True,True,0
GAO20200715t182609p0000-K,True,False,1
GAO20200715t182609p0001-A,True,True,0
GAO20200715t184712p0000-A,True,False,1
GAO20200715t184712p0000-B,True,False,6
GAO20200715t184712p0000-C,True,True,0
GAO20200715t184712p0000-D,True,True,0
GAO20200715t184712p0000-E,True,True,0
GAO20200715t184712p0000-F,True,True,0
GAO20200715t184712p0000-G,True,True,0
GAO20200715t184712p0000-H,True,True,0
GAO20200715t184712p0001-A,True,True,0
GAO20200715t184712p0001-B,True,True,0
GAO20200715t184712p0001-C,True,False,1
GAO20200715t184712p0001-D,True,True,0
GAO20200715t191219p0000-B,True,True,0
GAO20200715t191219p0000-C,True,True,0
GAO20200715t191219p0000-D,True,True,0
GAO20200715t193403p0000-A,True,True,0
GAO20200715t193403p0000-B,True,True,0
GAO20200718t180036p0000-H,True,True,0
GAO20200718t180036p0001-A,True,False,6
GAO20200718t182430p0000-C,True,True,0
GAO20200718t182430p0000-G,True,True,0
GAO20200718t182430p0000-H,True,True,0
GAO20200718t184740p0000-A,True,False,1
GAO20200723t174534p0000-C,True,True,0
GAO20200723t174534p0000-D,True,True,0
GAO20200723t174534p0000-E,True,True,0
GAO20200723t175746p0000-A,True,True,0
GAO20200723t175746p0000-B,True,True,0
GAO20200723t175746p0000-D,True,True,0
GAO20200723t175746p0000-E,True,True,0
GAO20200723t180941p0000-B,True,True,0
GAO20200723t182125p0000-J,True,True,0
GAO20200723t183200p0000-B,True,True,0
GAO20200723t185222p0000-A,True,True,0
GAO20200723t190433p0000-A,True,True,0
GAO20200724t155931p0000-A,True,True,0
GAO20200724t161329p0000-B,True,True,0
GAO20200724t161329p0000-C,True,True,0
GAO20200724t165348p0000-B,True,False,5
GAO20200728t174227p0000-A,True,True,0
GAO20200730t193939p0000-A,True,True,0
GAO20200802t183346p0000-A,True,True,0
GAO20200806t184600p0000-A,True,True,0
GAO20200806t190349p0000-A,True,True,0
GAO20200806t192856p0000-A,True,True,0
GAO20200806t192856p0000-B,True,True,0
GAO20200806t195450p0000-A,True,True,0
GAO20200806t195450p0000-B,True,True,0
