plume_id,timepoint,raw_path,size,read_ok,bands,height,width,dtype,crs,center_nonzero_bands,center_max,error
GAO20191010t162620p0000-H,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t162620p0000-H/s2_prev1.tif,7711091,True,12,513,600,uint16,EPSG:4326,12,4082,
GAO20191010t164043p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-A/s2_prev1.tif,7784156,True,12,513,600,uint16,EPSG:4326,12,5869,
GAO20191010t164043p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-B/s2_prev1.tif,152248,True,12,514,600,uint16,EPSG:4326,0,0,
GAO20191010t164043p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-C/s2_prev1.tif,7782233,True,12,514,599,uint16,EPSG:4326,12,5330,
GAO20191010t164043p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-D/s2_prev1.tif,1673643,True,12,514,599,uint16,EPSG:4326,0,0,
GAO20191010t164043p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-E/s2_prev1.tif,1709812,True,12,514,600,uint16,EPSG:4326,0,0,
GAO20191010t164043p0000-F,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-F/s2_prev1.tif,7769023,True,12,514,600,uint16,EPSG:4326,12,5420,
GAO20191010t164043p0000-G,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-G/s2_prev1.tif,7752489,True,12,514,600,uint16,EPSG:4326,12,5140,
GAO20191010t164043p0000-H,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-H/s2_prev1.tif,7715296,True,12,514,600,uint16,EPSG:4326,12,4284,
GAO20191010t164043p0000-I,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-I/s2_prev1.tif,7651165,True,12,514,600,uint16,EPSG:4326,12,5520,
GAO20191010t164043p0000-J,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-J/s2_prev1.tif,7824807,True,12,514,600,uint16,EPSG:4326,12,6418,
GAO20191010t164043p0000-K,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-K/s2_prev1.tif,7656127,True,12,514,600,uint16,EPSG:4326,12,4123,
GAO20191010t164043p0000-L,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-L/s2_prev1.tif,7553689,True,12,514,600,uint16,EPSG:4326,12,4700,
GAO20191010t164043p0000-M,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-M/s2_prev1.tif,5971022,True,12,514,600,uint16,EPSG:4326,12,4330,
GAO20191010t164043p0000-N,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-N/s2_prev1.tif,7787941,True,12,514,599,uint16,EPSG:4326,12,4921,
GAO20191010t164043p0000-O,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-O/s2_prev1.tif,7402365,True,12,514,600,uint16,EPSG:4326,12,5317,
GAO20191010t164043p0000-P,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t164043p0000-P/s2_prev1.tif,7686842,True,12,514,600,uint16,EPSG:4326,12,4782,
GAO20191010t170025p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-A/s2_prev1.tif,4726169,True,12,513,600,uint16,EPSG:4326,12,3905,
GAO20191010t170025p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-B/s2_prev1.tif,5272605,True,12,514,599,uint16,EPSG:4326,12,6058,
GAO20191010t170025p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-C/s2_prev1.tif,6595509,True,12,513,599,uint16,EPSG:4326,12,3313,
GAO20191010t170025p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-D/s2_prev1.tif,6574503,True,12,514,600,uint16,EPSG:4326,12,2890,
GAO20191010t170025p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-E/s2_prev1.tif,7311237,True,12,514,600,uint16,EPSG:4326,12,5104,
GAO20191010t170025p0000-F,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-F/s2_prev1.tif,7513348,True,12,514,600,uint16,EPSG:4326,12,4544,
GAO20191010t170025p0000-G,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-G/s2_prev1.tif,7771445,True,12,514,600,uint16,EPSG:4326,12,5060,
GAO20191010t170025p0000-H,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-H/s2_prev1.tif,7723011,True,12,514,599,uint16,EPSG:4326,12,5308,
GAO20191010t170025p0000-I,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-I/s2_prev1.tif,7732913,True,12,514,600,uint16,EPSG:4326,12,4789,
GAO20191010t170025p0000-J,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-J/s2_prev1.tif,7801942,True,12,514,599,uint16,EPSG:4326,12,5742,
GAO20191010t170025p0000-K,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t170025p0000-K/s2_prev1.tif,7812862,True,12,514,600,uint16,EPSG:4326,12,5571,
GAO20191010t171502p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-A/s2_prev1.tif,7716761,True,12,514,599,uint16,EPSG:4326,12,4675,
GAO20191010t171502p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-B/s2_prev1.tif,5187265,True,12,514,600,uint16,EPSG:4326,12,4546,
GAO20191010t171502p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-C/s2_prev1.tif,5017438,True,12,514,599,uint16,EPSG:4326,12,4398,
GAO20191010t171502p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-D/s2_prev1.tif,7767563,True,12,514,599,uint16,EPSG:4326,12,5198,
GAO20191010t171502p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-E/s2_prev1.tif,7762512,True,12,514,600,uint16,EPSG:4326,12,4814,
GAO20191010t171502p0000-F,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-F/s2_prev1.tif,7731338,True,12,514,600,uint16,EPSG:4326,12,3735,
GAO20191010t171502p0000-G,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-G/s2_prev1.tif,7730714,True,12,514,600,uint16,EPSG:4326,12,4437,
GAO20191010t171502p0000-H,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-H/s2_prev1.tif,7725632,True,12,514,600,uint16,EPSG:4326,12,4851,
