plume_id,event_group_id,reason,wrong_t0_path
GAO20210513t155053p0000-1,GAO20210513t155053p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210513t155053p0000-1/s2_std_512.tif
GAO20210808t155515p0000-A,GAO20210808t155515p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t155515p0000-A/s2_std_512.tif
GAO20210808t161252p0000-A,GAO20210808t161252p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t161252p0000-A/s2_std_512.tif
GAO20210808t171028p0000-A,GAO20210808t171028p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t171028p0000-A/s2_std_512.tif
GAO20220422t162854p0000-B,GAO20220422t162854p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20220422t162854p0000-B/s2_std_512.tif
GAO20240415t184413p0000-A,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-A/s2_std_512.tif
GAO20240415t184413p0000-B,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-B/s2_std_512.tif
GAO20240415t184413p0000-C,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-C/s2_std_512.tif
GAO20240420t184615p0000-B,GAO20240420t184615p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240420t184615p0000-B/s2_std_512.tif
GAO20240420t184615p0000-C,GAO20240420t184615p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240420t184615p0000-C/s2_std_512.tif
GAO20240420t185421p0000-A,GAO20240420t185421p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240420t185421p0000-A/s2_std_512.tif
ang20170906t182858-A,ang20170906t182858,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20170906t182858-A/s2_std_512.tif
ang20171108t182106-A,ang20171108t182106,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20171108t182106-A/s2_std_512.tif
ang20171108t182106-B,ang20171108t182106,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20171108t182106-B/s2_std_512.tif
ang20171108t182106-C,ang20171108t182106,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20171108t182106-C/s2_std_512.tif
ang20171108t182515-A,ang20171108t182515,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20171108t182515-A/s2_std_512.tif
ang20171108t182515-B,ang20171108t182515,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20171108t182515-B/s2_std_512.tif
ang20190926t152524-1,ang20190926t152524,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20190926t152524-1/s2_std_512.tif
ang20190926t172904-A,ang20190926t172904,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20190926t172904-A/s2_std_512.tif
ang20220903t184312-A,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-A/s2_std_512.tif
ang20220903t184312-B,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-B/s2_std_512.tif
ang20220903t184312-C,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-C/s2_std_512.tif
ang20220903t184312-D,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-D/s2_std_512.tif
ang20220903t184312-E,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-E/s2_std_512.tif
ang20220903t184312-F,ang20220903t184312,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/ang20220903t184312-F/s2_std_512.tif
emi20240226t091427p06012-B,emi20240226t091427p06012,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/emi20240226t091427p06012-B/s2_std_512.tif
tan20250407t064610c00s4001-A,tan20250407t064610c00s4001,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/tan20250407t064610c00s4001-A/s2_std_512.tif
