contrast_id,family,seed,kind,metric,formula,point_delta,bootstrap_mean_delta,bootstrap_median_delta,bootstrap_std_delta,ci_level,ci_low,ci_high,ci_excludes_zero,probability_delta_gt_0,probability_delta_lt_0,two_sided_bootstrap_sign_p,bootstrap_repeats,bootstrap_seed,paired_rows,canonical_events,left_artifact,right_artifact,left_point_metric,right_point_metric
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-transient_query,frozen,17,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|transient_query,0.006266699321580194,0.00635546967034535,0.006214647229272341,0.003524508696212395,0.95,-0.00037835853356411387,0.013479392845304177,False,0.9665,0.0335,0.06796601699150424,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|transient_query,0.7340824591917354,0.7278157598701552
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-transient_query,frozen,17,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|transient_query,0.07658506222580996,0.07707929383739957,0.07722810721436196,0.012676661354999293,0.95,0.05252046381562016,0.10152924552600252,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|transient_query,0.6546315106370972,0.5780464484112873
frozen|seed=29|panopticon_pretrained|transient_query-minus-current_only,frozen,29,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=29|transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.029976229474429017,0.02984938260204902,0.02986501337120384,0.011444619617234543,0.95,0.008800492146255813,0.051516931659390544,True,0.9975,0.0025,0.005997001499250375,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.6837022842386542,0.6537260547642252
frozen|seed=29|panopticon_pretrained|transient_query-minus-current_only,frozen,29,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=29|transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.0339984696468425,0.033636068111558386,0.033636615996365526,0.010575019095761305,0.95,0.012588554791035449,0.05419897522908984,True,0.999,0.001,0.0029985007496251873,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.7310452754843235,0.697046805837481
frozen|seed=29|panopticon_pretrained|transient_query-minus-current_only,frozen,29,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=29|transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.022783594765964366,0.022494988453704814,0.022952825495715257,0.01383302012366171,0.95,-0.004978124895601242,0.048904574975476844,False,0.947,0.053,0.10694652673663169,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.6598489971486534,0.637065402382689
frozen|seed=29|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,29,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.03583792570536315,0.0360982438744505,0.03644842559755057,0.011324750376415857,0.95,0.014161028353989009,0.05701929756493572,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.6895639804695883,0.6537260547642252
frozen|seed=29|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,29,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.03647941287572165,0.03625834826986333,0.0363355903729351,0.010813458389824943,0.95,0.014408021260797488,0.057345440311232426,True,0.9985,0.0015,0.00399800099950025,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.7335262187132027,0.697046805837481
frozen|seed=29|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,29,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query - frozen|panopticon_pretrained|seed=29|current_only,0.029458977079327098,0.02926145271382563,0.029475812353825626,0.012433910725456038,0.95,0.004951769933843936,0.054083357391604546,True,0.9925,0.0075,0.015992003998001,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|scale_aware_transient_query,frozen|panopticon_pretrained|seed=29|current_only,0.6665243794620161,0.637065402382689
frozen|seed=29|panopticon_pretrained|transient_query-minus-history_shuffle_train,frozen,29,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=29|transient_query - frozen|panopticon_pretrained|seed=29|history_shuffle_train,0.027012188109464375,0.027109519433472017,0.027089384558473095,0.011346896904637395,0.95,0.005058754088085991,0.048663463239362596,True,0.991,0.009,0.01899050474762619,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|transient_query,frozen|panopticon_pretrained|seed=29|history_shuffle_train,0.6837022842386542,0.6566900961291898
frozen|seed=29|panopticon_pretrained|transient_query-minus-history_shuffle_train,frozen,29,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=29|transient_query - frozen|panopticon_pretrained|seed=29|history_shuffle_train,0.03293303390437918,0.03261941784113786,0.03281447406252025,0.010293243437800316,0.95,0.012360665873903042,0.05181282465654622,True,0.998,0.002,0.004997501249375313,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=29|transient_query,frozen|panopticon_pretrained|seed=29|history_shuffle_train,0.7310452754843235,0.6981122415799443
