id,plume_id,label,dx_anchor_px,dy_anchor_px,anchor_radius_sq,old_t0_path,new_t0_path,legacy_shape,new_gee_shape,grid_size,shift_y_to_apply_new_px,shift_x_to_apply_new_px,subpixel_shift_y_to_apply_new_px,subpixel_shift_x_to_apply_new_px,subpixel_shift_magnitude_px,subpixel_shift_magnitude_m,search_peak_correlation,before_valid_fraction,before_mae_dn,before_rmse_dn,before_mae_robust_z,before_rmse_robust_z,before_median_band_correlation,before_median_affine_nrmse,after_valid_fraction,after_mae_dn,after_rmse_dn,after_mae_robust_z,after_rmse_robust_z,after_median_band_correlation,after_median_affine_nrmse,mae_dn_ratio_after_before,rmse_robust_z_ratio_after_before
134887,emi20230614t071902p05016-B,1,1,-3,10,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00134887/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00134887/s2_0.tif,12x224x224,12x36x36,36,-1,-2,-0.9564824990781069,-2.119126515280868,2.324985152384663,23.24985152384663,0.2494362803716568,1.0,355.3674011230469,504.5168151855469,0.6001890897750854,0.8012877702713013,0.5695825893111309,0.8219341056031362,1.0,308.9215087890625,456.50103759765625,0.5288044214248657,0.7296833395957947,0.6300870468532821,0.7765245091996195,0.8693017643509108,0.9106383083180433
134695,emi20230614t102415p07025-B,1,-3,-2,13,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00134695/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00134695/s2_0.tif,12x224x224,12x36x36,36,-1,3,-0.8564508127100252,2.9795558101355812,3.10020335144396,31.002033514439603,0.19734557804234426,1.0,84.393798828125,109.71006774902344,0.9610804319381714,1.3152132034301758,0.21103566489905615,0.9774783619807721,1.0,79.08413696289062,97.8089599609375,0.8663395643234253,1.1374974250793457,0.458014056566723,0.8889449499194508,0.9370846917787414,0.8648768291807489
134962,emi20230616t211419p14028-A,1,-3,6,45,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00134962/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00134962/s2_0.tif,12x224x224,12x36x36,36,-1,0,-0.7439456683329944,0.25846023918181193,0.7875638721204428,7.875638721204428,0.31721263476552736,1.0,327.4593505859375,475.25506591796875,0.3688996136188507,0.5032159090042114,0.8316816189740368,0.5552528114838542,1.0,293.4989013671875,427.7821350097656,0.3367309868335724,0.45729726552963257,0.8534314350334683,0.5212051282333232,0.8962910994662908,0.9087496188953069
134987,emi20230616t211419p14028-B,1,1,2,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00134987/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00134987/s2_0.tif,12x224x224,12x36x36,36,0,-2,0.10678002396789761,-1.6732956758633006,1.6766992551979634,16.766992551979634,0.43866431333581807,1.0,375.88043212890625,548.8560791015625,0.3455943167209625,0.4821283519268036,0.8232029128911886,0.5677472714222965,1.0,365.07421875,570.788818359375,0.35508736968040466,0.5185705423355103,0.8176365218566807,0.5757347636942816,0.9712509286059341,1.0755860763281544
135049,emi20230616t211419p14028-C,0,-34,-219,49117,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00135049/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00135049/s2_0.tif,12x224x224,12x36x36,36,1,-3,1.0195604013882915,-2.8330178213839226,3.010895778395187,30.108957783951872,0.4371754544304134,1.0,270.9449157714844,440.37445068359375,1.0588767528533936,1.672623872756958,0.44391765324324517,0.8960675851402115,1.0,159.4208221435547,258.64599609375,0.643428385257721,0.9928456544876099,0.7427714975285437,0.6695449965903749,0.5883883138741404,0.5935857251942237
135064,emi20230616t211419p14028-D,1,-1,5,26,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00135064/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00135064/s2_0.tif,12x224x224,12x36x36,36,0,-2,-0.0487978808840691,-1.6537656699962315,1.6544854560971096,16.544854560971096,0.39656596410218065,1.0,198.92901611328125,349.89984130859375,0.4135885238647461,0.6941993236541748,0.8237967534092024,0.5668852697614024,1.0,227.33880615234375,346.4277038574219,0.488381952047348,0.6950337886810303,0.8233553481386272,0.5675261850271932,1.1428137060854129,1.001202053932382
135125,emi20230616t211419p14028-E,0,-112,-214,58340,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00135125/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00135125/s2_0.tif,12x224x224,12x36x36,36,-1,18,-0.8967184891312623,18.0,18.02232238222227,180.2232238222227,0.26452797083303264,1.0,385.7151184082031,521.8297119140625,1.4314671754837036,1.9068747758865356,-0.051815340263570445,0.9986566830064125,1.0,291.1448059082031,412.379638671875,1.1814911365509033,1.6151432991027832,0.3240937072134934,0.9460249832560523,0.7548182376405687,0.8470106792156177
136413,emi20230622t101826p07008-B,1,1,-7,50,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00136413/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00136413/s2_0.tif,12x224x224,12x36x36,36,0,0,0.12439759282346376,-0.36544276850987123,0.38603520326057256,3.8603520326057255,0.43587713070276835,1.0,252.5785675048828,307.4100036621094,0.35371485352516174,0.5473789572715759,0.9091639397989966,0.41643838748267026,1.0,252.5785675048828,307.4100036621094,0.35371485352516174,0.5473789572715759,0.9091639397989966,0.41643838748267026,1.0,1.0
136543,emi20230622t115113p08014-B,1,-4,3,25,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00136543/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00136543/s2_0.tif,12x224x224,12x36x36,36,-1,0,-0.8654357667694542,0.1237626479937012,0.8742403899627641,8.742403899627641,0.35624944637832484,1.0,68.05707550048828,92.66019439697266,0.3504437804222107,0.4741819202899933,0.8891203909157643,0.45767338840902516,1.0,66.43802642822266,89.55770874023438,0.31547293066978455,0.43623998761177063,0.9087552133162823,0.41732956074363825,0.9762104224967173,0.9199844383459017
138190,emi20230627t170859p11025-A,1,1,-3,10,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00138190/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00138190/s2_0.tif,12x224x224,12x36x36,36,-1,0,-0.9378820200856125,0.4949193352545309,1.0604564262659055,10.604564262659055,0.5521900954322171,1.0,229.030029296875,382.5272521972656,0.6397091150283813,1.0482594966888428,0.7957505836246279,0.6056244782545233,1.0,169.4300079345703,282.9190979003906,0.49140745401382446,0.7896097898483276,0.8925447080019641,0.4509589163301792,0.7397720222746446,0.753257940750819
