metric_group,count,pos,neg,tp,tn,fp,fn,f1,acc,fpr,recall,auroc,target_f1,f1_diff,target_acc,acc_diff,target_fpr,fpr_diff,target_recall,recall_diff,target_auroc,auroc_diff
overall_all,31564,16682,14882,13426,12937,1945,3256,0.8377374972701462,0.8352236725383348,0.13069479908614434,0.8048195659992806,0.9015550351652559,0.8344,0.003337497270146206,0.8329,0.0023236725383348755,0.1265,0.004194799086144341,0.7967,0.008119565999280653,0.9179,-0.016344964834744125
overall_overlap,6351,3518,2833,2968,2519,314,550,0.8729411764705882,0.8639584317430326,0.1108365690081186,0.8436611711199545,0.9277297011366283,0.873,-5.882352941177782e-05,0.864,-4.1568256967439154e-05,0.1108,3.65690081186032e-05,0.8437,-3.882888004547169e-05,0.9434,-0.01567029886337168
overall_single,25213,13164,12049,10458,10418,1631,2706,0.8282580287490595,0.8279855630032126,0.1353639306166487,0.7944393801276208,0.894816571066706,0.8241,0.004158028749059461,0.8251,0.0028855630032126323,0.1301,0.005263930616648704,0.7842,0.010239380127620823,0.9109,-0.016083428933294064
s2_all,14954,7557,7397,6674,6715,682,883,0.8950580030845571,0.8953457268958138,0.09219954035419765,0.883154691014953,0.9411082594864761,0.8951,-4.199691544293227e-05,0.8953,4.572689581383571e-05,0.0922,-4.5964580235036134e-07,0.8832,-4.5308985046954575e-05,0.9604,-0.019291740513523892
s2_overlap,3512,1857,1655,1599,1539,116,258,0.8952967525195968,0.893507972665148,0.07009063444108761,0.8610662358642972,0.9452018735347757,0.8953,-3.2474804031457083e-06,0.8935,7.97266514807049e-06,0.0701,-9.365558912385885e-06,0.8611,-3.3764135702774034e-05,0.9639,-0.018698126465224285
s2_single,11442,5700,5742,5075,5176,566,625,0.8949828057490521,0.8959098059779759,0.09857192615813305,0.8903508771929824,0.9403466302468118,0.895,-1.719425094792726e-05,0.8959,9.805977975840818e-06,0.0986,-2.807384186694073e-05,0.8904,-4.912280701752092e-05,0.9598,-0.019453369753188232
l89_all,10413,5340,5073,3889,4473,600,1451,0.7913317733238376,0.8030346682032076,0.11827321111768184,0.7282771535580524,0.8826870388950536,0.7913,3.177332383763609e-05,0.8031,-6.533179679246714e-05,0.1183,-2.6788882318162788e-05,0.7283,-2.2846441947499407e-05,0.8926,-0.009912961104946327
l89_overlap,3138,1703,1435,1416,1284,151,287,0.8660550458715597,0.8604206500956023,0.10522648083623694,0.8314738696418086,0.9266099381906494,0.8661,-4.495412844029989e-05,0.8605,-7.934990439772971e-05,0.1052,2.64808362369362e-05,0.8316,-0.00012613035819142304,0.9401,-0.01349006180935064
l89_single,7275,3637,3638,2473,3189,449,1164,0.7540783656045128,0.7782817869415808,0.1234194612424409,0.6799560076986527,0.8626765742053415,0.7541,-2.163439548719115e-05,0.7783,-1.8213058419203065e-05,0.1234,1.9461242440899085e-05,0.68,-4.399230134732868e-05,0.8705,-0.007823425794658556
emit_all,9207,5386,3821,4293,3082,739,1093,0.8241505087348819,0.801020962311285,0.19340486783564512,0.7970664686223543,0.8805139829112922,0.8242,-4.949126511810675e-05,0.801,2.0962311284900004e-05,0.1934,4.86783564512816e-06,0.7971,-3.353137764572356e-05,0.888,-0.007486017088707775
emit_overlap,3319,1890,1429,1591,1222,207,299,0.8627982646420824,0.8475444410967159,0.14485654303708886,0.8417989417989418,0.918442615363539,0.8628,-1.7353579175871658e-06,0.8476,-5.555890328412527e-05,0.1449,-4.345696291113699e-05,0.8419,-0.00010105820105821284,0.9266,-0.008157384636460985
emit_single,5888,3496,2392,2702,1860,532,794,0.8029717682020803,0.774796195652174,0.22240802675585283,0.772883295194508,0.8589876724857075,0.803,-2.823179791977548e-05,0.7748,-3.8043478260973984e-06,0.2224,8.026755852846845e-06,0.7729,-1.6704805491984942e-05,0.8612,-0.002212327514292456
s5p_all,4056,2321,1735,1895,1460,275,426,0.843910042306836,0.8271696252465484,0.1585014409221902,0.8164584230934941,0.9000654343812354,0.8436,0.0003100423068359559,0.8272,-3.0374753451689607e-05,0.1574,0.0011014409221901944,0.8153,0.0011584230934941209,0.9122,-0.012134565618764581
s5p_overlap,3448,1990,1458,1687,1267,191,303,0.8722854188210961,0.8567285382830626,0.1310013717421125,0.8477386934673367,0.9221607006224538,0.8724,-0.00011458117890383868,0.8568,-7.146171693739323e-05,0.1317,-0.0006986282578875236,0.8483,-0.000561306532663397,0.9382,-0.016039299377546223
s5p_single,608,331,277,208,193,84,123,0.6677367576243981,0.6595394736842105,0.30324909747292417,0.6283987915407855,0.7746354445014014,0.6678,-6.324237560184631e-05,0.6595,3.9473684210533655e-05,0.3032,4.909747292414224e-05,0.6284,-1.2084592144745443e-06,0.7184,0.05623544450140139
