plume_id,event_group_id,status,reason,physical_t0,gee_only_t0,physical_prev1,gee_only_prev1,physical_prev2,gee_only_prev2,physical_prev3,gee_only_prev3,physical_seasonal,gee_only_seasonal,physical_year,gee_only_year,physical_raw_cm_mask
GAO20191010t170025p0000-C,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-D,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-E,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-F,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-G,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-H,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-I,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-J,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t170025p0000-K,GAO20191010t170025p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-A,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-B,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-C,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-D,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-E,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-F,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-G,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-H,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-I,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-J,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-K,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-L,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-M,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-N,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t171502p0000-O,GAO20191010t171502p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191012t175419p0000-A,GAO20191012t175419p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191012t185226p0000-B,GAO20191012t185226p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191013t170924p0000-A,GAO20191013t170924p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t182001p0000-A,GAO20191017t182001p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t183338p0000-C,GAO20191017t183338p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t183338p0000-E,GAO20191017t183338p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t183338p0000-J,GAO20191017t183338p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t184807p0000-A,GAO20191017t184807p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191017t190156p0000-D,GAO20191017t190156p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t155430p0000-A,GAO20191018t155430p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t155430p0000-B,GAO20191018t155430p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t160542p0000-A,GAO20191018t160542p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t160542p0000-B,GAO20191018t160542p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t162013p0000-A,GAO20191018t162013p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t162013p0000-B,GAO20191018t162013p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t162013p0000-C,GAO20191018t162013p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t162013p0000-D,GAO20191018t162013p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t163314p0000-A,GAO20191018t163314p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t163314p0000-B,GAO20191018t163314p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t163314p0000-C,GAO20191018t163314p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t163314p0000-D,GAO20191018t163314p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t164922p0000-A,GAO20191018t164922p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t164922p0000-B,GAO20191018t164922p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t170521p0000-A,GAO20191018t170521p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t170521p0000-B,GAO20191018t170521p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t170521p0000-C,GAO20191018t170521p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t170521p0000-D,GAO20191018t170521p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t170521p0000-E,GAO20191018t170521p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191018t172527p0000-A,GAO20191018t172527p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-A,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-B,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-C,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-D,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-E,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t174717p0000-F,GAO20191019t174717p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t180726p0000-A,GAO20191019t180726p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t180726p0000-B,GAO20191019t180726p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t182124p0000-A,GAO20191019t182124p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
