plume_id,status,reason
GAO20200715t184712p0000-B,ok,
GAO20200715t184712p0000-C,ok,
GAO20200715t184712p0000-D,ok,
GAO20200715t184712p0000-E,ok,
GAO20200715t184712p0000-F,ok,
GAO20200715t184712p0000-G,ok,
GAO20200715t184712p0000-H,ok,
GAO20200715t184712p0001-A,ok,
GAO20200715t184712p0001-B,ok,
GAO20200715t184712p0001-C,ok,
GAO20200715t184712p0001-D,ok,
GAO20200715t191219p0000-B,ok,
GAO20200715t191219p0000-C,ok,
GAO20200715t191219p0000-D,ok,
GAO20200715t193403p0000-A,ok,
GAO20200715t193403p0000-B,ok,
GAO20200718t180036p0000-H,ok,
GAO20200718t180036p0001-A,ok,
GAO20200718t182430p0000-C,ok,
GAO20200718t182430p0000-G,ok,
GAO20200718t182430p0000-H,ok,
GAO20200718t184740p0000-A,ok,
GAO20200723t174534p0000-C,ok,
GAO20200723t174534p0000-D,ok,
GAO20200723t174534p0000-E,ok,
GAO20200723t175746p0000-A,ok,
GAO20200723t175746p0000-B,ok,
GAO20200723t175746p0000-D,ok,
GAO20200723t175746p0000-E,ok,
GAO20200723t180941p0000-B,ok,
GAO20200723t182125p0000-J,ok,
GAO20200723t183200p0000-B,ok,
GAO20200723t185222p0000-A,ok,
GAO20200723t190433p0000-A,ok,
GAO20200724t155931p0000-A,ok,
GAO20200724t161329p0000-B,ok,
GAO20200724t161329p0000-C,ok,
GAO20200724t165348p0000-B,ok,
GAO20200728t174227p0000-A,ok,
GAO20200730t193939p0000-A,ok,
GAO20200802t183346p0000-A,ok,
GAO20200806t184600p0000-A,ok,
GAO20200806t190349p0000-A,ok,
GAO20200806t192856p0000-A,ok,
GAO20200806t192856p0000-B,ok,
GAO20200806t195450p0000-A,ok,
GAO20200806t195450p0000-B,ok,
GAO20200807t163414p0000-A,ok,
GAO20201120t182953p0000-2,ok,
GAO20201121t185745p0000-A,ok,
GAO20201121t192431p0000-1,ok,
GAO20201121t193350p0000-A,ok,
GAO20201121t201245p0000-1,ok,
GAO20201121t201245p0000-A,ok,
GAO20201121t201245p0000-B,ok,
GAO20201121t202345p0000-1,ok,
GAO20201121t202345p0000-7,ok,
GAO20201121t202345p0000-A,ok,
GAO20201121t202345p0000-B,ok,
GAO20201121t202345p0000-C,ok,
GAO20201121t203403p0000-A,ok,
GAO20210505t174931p0000-1,ok,
GAO20210506t175942p0000-1,ok,
GAO20210506t175942p0000-2,ok,
GAO20210506t181508p0000-1,ok,
GAO20210506t181508p0000-2,ok,
GAO20210506t182124p0000-1,ok,
GAO20210506t182124p0000-2,ok,
GAO20210719t180314p0000-1,ok,
GAO20210719t181451p0000-1,ok,
GAO20210719t182607p0000-2,ok,
GAO20210719t183655p0000-1,ok,
GAO20210720t174343p0000-A,ok,
GAO20210919t182411p0000-A,ok,
GAO20210919t182411p0000-B,ok,
GAO20210919t185950p0000-A,ok,
GAO20210919t193818p0000-A,ok,
GAO20210922t183238p0000-A,ok,
GAO20210922t183238p0000-B,ok,
GAO20210922t184257p0000-A,ok,
GAO20210922t191126p0000-A,ok,
GAO20210922t192226p0000-A,ok,
GAO20210922t193155p0000-A,ok,
GAO20210922t200529p0000-A,ok,
GAO20210922t202824p0000-A,ok,
GAO20210922t203935p0000-A,ok,
GAO20210922t203935p0000-B,ok,
GAO20210924t180043p0000-A,ok,
GAO20210924t182719p0000-A,ok,
GAO20210924t184133p0000-A,ok,
GAO20210924t190756p0000-A,ok,
GAO20210924t194550p0000-A,ok,
GAO20210924t202423p0000-A,ok,
GAO20210924t202423p0000-B,ok,
GAO20210924t202423p0000-C,ok,
GAO20210927t181518p0000-A,ok,
GAO20210927t181518p0000-B,ok,
