encoder,arm,ap_mean,ap_std,auc_mean,auc_std,macro_f1_at_0_5_mean,macro_f1_at_0_5_std,best_macro_f1_mean,best_macro_f1_std,balanced_accuracy_at_0_5_mean,balanced_accuracy_at_0_5_std,single_sensor_ap_mean,single_sensor_ap_std,multisensor_ap_mean,multisensor_ap_std
panopticon_pretrained,current_only,0.65125742493122,0.004147193300886605,0.6931969391091943,0.0035765441374848005,0.5787516044228055,0.05493076245642535,0.6392044215785443,0.0005748081784286379,0.603323283184057,0.031024536447888027,0.6435837988528211,0.003975596646386175,0.7046294360034161,0.007769544664475445
panopticon_pretrained,history_shuffle_train,0.6491488810201504,0.008826220783918915,0.6905490314912365,0.006702017643200811,0.5806712636791606,0.05162944855654564,0.6397510007051298,0.00443245310790881,0.6023929871266765,0.03015589108262348,0.638180761976549,0.006327717481471109,0.7157954160695473,0.02397660570953035
panopticon_pretrained,scale_aware_transient_query,0.6883725398848449,0.005065053015082523,0.7304161610459167,0.005875082931060805,0.6427217231759723,0.031494349668118274,0.6678656050152153,0.005758083740559188,0.6485180526786485,0.02213231679686751,0.6812474500474343,0.007142296939496217,0.7304976027256166,0.0009017369809976239
panopticon_pretrained,transient_query,0.6786777762173551,0.005779517760269187,0.7243939123492305,0.00887184436664233,0.583537696561765,0.07371922486912261,0.6648024044342085,0.006267482009209024,0.6128397921339479,0.04408168982034105,0.6680503057695675,0.0055663529385527695,0.7317705330963703,0.007319771845751292
random_frozen,current_only,0.5108625284126905,0.007618924423068504,0.5431699803563167,0.00448854252034051,0.4986808737707243,0.05561985436626932,0.5357397558720592,0.002742168058034173,0.5288315675234893,0.0074802254776878034,0.5189233333042149,0.008797851766698075,0.4573406422131274,0.02311521115630774
random_frozen,history_shuffle_train,0.48877358100676327,0.002828251804114549,0.518200502092359,0.0033517905667641013,0.40482148742243657,0.022325031455834195,0.5221097510117095,0.000853407897577662,0.5026153910725709,0.008479151820039381,0.4968062784755041,0.0027254492340390494,0.4454198042200517,0.00965238107691388
random_frozen,scale_aware_transient_query,0.5182614004593791,0.009473191708136312,0.5496322401778125,0.00414790933299005,0.4080796965003491,0.04940470033812443,0.5379139970354713,0.002509176644160807,0.5134851417836686,0.011678492003389664,0.5279678926427676,0.011225793766546827,0.4545256985919159,0.007550053456793721
random_frozen,transient_query,0.4901730774081954,0.004557070569613032,0.5186778726522939,0.004784575004292071,0.4040967481251545,0.10334107189354233,0.5242327936631851,0.001969888300252515,0.5094417900796402,0.011033235443416892,0.4957080253868837,0.006119161417806219,0.4561332434131821,0.0007181587802688165
