encoder,seed,arm,best_epoch,ap,auc,macro_f1_at_0_5,best_macro_f1,best_macro_f1_threshold,balanced_accuracy_at_0_5,single_sensor_rows,single_sensor_ap,single_sensor_macro_f1_at_0_5,multisensor_rows,multisensor_ap,multisensor_macro_f1_at_0_5
panopticon_pretrained,17,current_only,5,0.6535767859053433,0.6925664409880049,0.5712052211624072,0.6386644260773283,0.29719826579093933,0.5960289687827327,1447,0.6461355241089843,0.5660192288808911,259,0.7105688664582169,0.5995201279658757
panopticon_pretrained,17,history_shuffle_train,5,0.6513154217150752,0.6881870849816454,0.5775325987175899,0.6397757690762389,0.3009333610534668,0.5993581095572353,1447,0.6403045397344747,0.5723504322570494,259,0.718412127281457,0.6067523073511097
panopticon_pretrained,17,scale_aware_transient_query,5,0.6927356615989668,0.7340824591917356,0.6546315106370972,0.6701145980229528,0.3980521857738495,0.6547697621034192,1447,0.6878613457392986,0.6509355142386444,259,0.7298000739347188,0.6752599388379206
panopticon_pretrained,17,transient_query,5,0.6799692788891434,0.7278157598701552,0.5780464484112873,0.6667290180419063,0.2149105966091156,0.6075197624493399,1447,0.6684648504340704,0.5730909320944599,259,0.7363363792556835,0.6057838660578386
panopticon_pretrained,29,current_only,5,0.6537260547642252,0.6970468058374808,0.637065402382689,0.6398086469252426,0.4687197506427765,0.6373450448244038,1447,0.6456127648674307,0.6314115033486153,259,0.7074827954533417,0.6684737595060612
panopticon_pretrained,29,history_shuffle_train,5,0.6566900961291898,0.6981122415799443,0.633798442749454,0.6441710177254291,0.4216313064098358,0.6339515628005186,1447,0.6431733907952661,0.6212160282557395,259,0.7383563343984105,0.7040541158188217
panopticon_pretrained,29,scale_aware_transient_query,5,0.6895639804695883,0.7335262187132028,0.6665243794620161,0.6721597846597847,0.5252642035484314,0.666852080159511,1447,0.6822071980431094,0.662286060047254,259,0.7315158592960013,0.6900801723106378
panopticon_pretrained,29,transient_query,5,0.6837022842386543,0.7310452754843235,0.6598489971486534,0.6698804096352748,0.5549774765968323,0.6593400663337525,1447,0.6733977971206229,0.6525362021801593,259,0.735647467686414,0.7001278099391023
panopticon_pretrained,43,current_only,5,0.6464694341240914,0.6899775705020971,0.5279841897233202,0.6391401917330617,0.2547837495803833,0.5765958359450346,1447,0.6390031075820485,0.5226367953688853,259,0.6958366460986894,0.5583365421640354
panopticon_pretrained,43,history_shuffle_train,5,0.6394411252161865,0.6853477679121196,0.5306827495704378,0.6353062153137213,0.2066650241613388,0.5738692890222759,1447,0.6310643553999061,0.5218461158689328,259,0.6906177865287745,0.5809965487489215
panopticon_pretrained,43,scale_aware_transient_query,5,0.6828179775859795,0.7236398052328116,0.6070092794288036,0.6613224323629083,0.2984703481197357,0.6239323157730152,1447,0.6736738063598945,0.603627301238456,259,0.7301768749461297,0.62525837122778
panopticon_pretrained,43,transient_query,5,0.6723617655242675,0.7143207016932125,0.5127176441253543,0.6577977856254442,0.16897696256637573,0.5716595476187512,1447,0.6622882697540092,0.5090349129568569,259,0.7233277523470133,0.532344167059193
random_frozen,17,current_only,3,0.5170169800283612,0.5475876182529897,0.43446856026240493,0.5382062683902535,0.4363853335380554,0.5202079951958534,1447,0.526536655379868,0.44325202384445966,259,0.45752690754301223,0.36363636363636365
random_frozen,17,history_shuffle_train,4,0.4917104809324899,0.515439824327634,0.40953626592640047,0.5218442557210321,0.4648687243461609,0.5082294533484432,1447,0.49673437906489715,0.40937871949820237,259,0.45651410248775004,0.40827415869095396
random_frozen,17,scale_aware_transient_query,3,0.5148727313076811,0.5498063535946003,0.3510840623811335,0.5398578971401791,0.42186710238456726,0.5,1447,0.5246076545595308,0.3487848784878488,259,0.44585859792040594,0.36363636363636365
random_frozen,17,transient_query,2,0.49147552627816493,0.5218947045076234,0.5171904422540123,0.5263461750440916,0.46822401881217957,0.5215702308951459,1447,0.4987689866366124,0.5180300846848034,259,0.4554359007580582,0.4845321229050279
random_frozen,29,current_only,2,0.5132295705397762,0.5433085792483558,0.5318604806434213,0.5362260119440303,0.49735045433044434,0.5327199467558865,1447,0.5209416350077347,0.5341489214919745,259,0.48036215784143965,0.5147995503934057
