plume_id,timepoint,status,task_id,task_state,drive_folder,file_prefix,collection,bands,target_time_utc,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,plume_latitude,plume_longitude,message
GAO20200714t154912p0000-E,year,submitted,CQFV2T5M36IL344LK63NWIA2,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t154912p0000-E_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.14277059,-103.7387822,submitted; candidates=10; source=legacy_year_event_day_window
GAO20200714t160234p0000-A,seasonal,submitted,3IBZ3XLG3OLKL4TYM2F6OHJZ,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.048753,-103.903628,submitted; candidates=16; source=legacy_seasonal_event_day_window
GAO20200714t160234p0000-D,t0,submitted,65N4L7J3D3DMFAOUSLEVOBKC,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-D_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.04560038,-103.939339,submitted; candidates=2; source=legacy_t0_event_day_window
GAO20200714t160234p0000-D,year,submitted,KQYMV2MJWDARKD2LEDM3LBGY,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-D_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.04560038,-103.939339,submitted; candidates=23; source=legacy_year_event_day_window
GAO20200714t160234p0000-D,seasonal,submitted,R3SS2FSZPJ2RIF6T2DKY5ARM,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-D_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.04560038,-103.939339,submitted; candidates=16; source=legacy_seasonal_event_day_window
GAO20200714t160234p0000-G,seasonal,submitted,ERY7WSOQ2M7ER4FMB4CZ7H2T,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-G_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.048471,-103.910957,submitted; candidates=16; source=legacy_seasonal_event_day_window
GAO20200714t160234p0000-E,t0,submitted,MIYVF3ITSD6UCVVHEXXXLWF2,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-E_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.19973524,-103.6726407,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20200714t154912p0000-D,seasonal,submitted,QFWGYCBZSHKOD4MJDGYZOLDD,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t154912p0000-D_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.0487846,-103.8800572,submitted; candidates=16; source=legacy_seasonal_event_day_window
GAO20200714t160234p0000-G,t0,submitted,776HIKMGB7WYDCKDTZFGE3Q7,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-G_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.048471,-103.910957,submitted; candidates=2; source=legacy_t0_event_day_window
GAO20200714t160234p0000-E,year,submitted,64BI4CN5W2WAYJZWEUDBS4QN,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-E_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.19973524,-103.6726407,submitted; candidates=10; source=legacy_year_event_day_window
GAO20200714t154912p0000-E,t0,submitted,7P2EONSDETCAAKQTPXZ4NZTS,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t154912p0000-E_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.14277059,-103.7387822,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20200714t160234p0000-A,t0,submitted,QNKHXSS7ZPBROGD6WAVLTKSF,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.048753,-103.903628,submitted; candidates=2; source=legacy_t0_event_day_window
GAO20200714t160234p0000-E,seasonal,submitted,MGQ3EXUOYVPPQCWD3MEKTG2A,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-E_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.19973524,-103.6726407,submitted; candidates=8; source=legacy_seasonal_event_day_window
GAO20200714t161636p0000-D,year,submitted,7FKJQGUX4L6YQVEOH3Z6ZAPO,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-D_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.15651399,-103.7370182,submitted; candidates=10; source=legacy_year_event_day_window
