plume_id,timepoint,status,drive_file_id,drive_file_name,drive_folder,file_prefix,raw_path,size,validate_message,message
GAO20191020t153619p0000-B,seasonal,downloaded_deleted_drive,1mox0ANlaq778Eow7bM2TeOR-Go5CYqjH,GAO20191020t153619p0000-B_s2_seasonal.tif,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-B_s2_seasonal,/diniuvol/yuyao/s2_legacy360_matched_gee_raw/S2_GEE_6time/seasonal/GAO20191020t153619p0000-B/s2_seasonal.tif,7550716,rasterio_ok:12x514x596,
GAO20191020t155133p0000-A,t0,downloaded_deleted_drive,1eoeJJ4vHSNBhNRX4O3Jkyl-W2il_iyXv,GAO20191020t155133p0000-A_s2_0.tif,CM_S2_L2A_6TIME_GEE,GAO20191020t155133p0000-A_s2_0,/diniuvol/yuyao/s2_legacy360_matched_gee_raw/S2_GEE_6time/t0/GAO20191020t155133p0000-A/s2_0.tif,7482628,rasterio_ok:12x514x596,
GAO20191020t153619p0000-A,t0,downloaded_deleted_drive,1sYnAGTfc47UH4bZtHVwzeLsf1zDxXJO8,GAO20191020t153619p0000-A_s2_0.tif,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-A_s2_0,/diniuvol/yuyao/s2_legacy360_matched_gee_raw/S2_GEE_6time/t0/GAO20191020t153619p0000-A/s2_0.tif,7544495,rasterio_ok:12x514x595,
GAO20191020t153619p0000-C,year,downloaded_deleted_drive,1UTF0qNkBBB7ftgU4N-vEHI-J-bOIjMpJ,GAO20191020t153619p0000-C_s2_year.tif,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-C_s2_year,/diniuvol/yuyao/s2_legacy360_matched_gee_raw/S2_GEE_6time/year/GAO20191020t153619p0000-C/s2_year.tif,7473986,rasterio_ok:12x514x596,
