plume_id,timepoint,status,raw_path,collection,bands,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,candidates,attempts,size,shape,message
ang20161006t180917-A,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t180917-A/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:54Z,20161006T184422_20161006T184423_T11SMT,0.007767,0,1,1,5588716,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t180917-A,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t180917-A/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-08T18:45:02Z,20160708T182922_20160708T183821_T11SMT,0.866016,0,5,1,5644462,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20161006t180917-A,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20161006t180917-A/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2015-08-08T00:00:00+00:00,2015-11-06T00:00:00+00:00,2015-08-23T18:44:58Z,20150823T184436_20150823T184433_T11SMT,8.311565,0,3,1,5586314,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20161006t180917-B,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t180917-B/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:54Z,20161006T184422_20161006T184423_T11SMT,0.007767,0,1,1,5586940,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t180917-B,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t180917-B/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-08T18:45:02Z,20160708T182922_20160708T183821_T11SMT,0.866016,0,5,1,5642026,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20161006t180917-B,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20161006t180917-B/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2015-08-08T00:00:00+00:00,2015-11-06T00:00:00+00:00,2015-08-23T18:44:58Z,20150823T184436_20150823T184433_T11SMT,8.311565,0,3,1,5583664,"shape=(12,513,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20161006t175913-A,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t175913-A/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:54Z,20161006T184422_20161006T184423_T11SMT,0.007767,0,2,1,5658522,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t175913-A,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t175913-A/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-08T18:45:02Z,20160708T182922_20160708T183821_T11SMT,0.866016,0,7,1,5747969,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20161006t175913-A,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20161006t175913-A/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2015-08-08T00:00:00+00:00,2015-11-06T00:00:00+00:00,2015-08-23T18:44:58Z,20150823T184436_20150823T184433_T11SMT,8.311565,0,5,1,5666701,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20170616t194729-B,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20170616t194729-B/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2017-06-15T00:00:00+00:00,2017-06-18T00:00:00+00:00,2017-06-16T18:54:48Z,20170616T185431_20170616T185428_T11SKU,1.756106,0,4,1,751084,"shape=(12,514,624),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
