id,row_idx,plume_id,label,reference,sensors,num_sensors,target_mask,target_shape,fusion_iou_plus,align_modes
124902,13954,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7543845663265306,resize_no_crs
124927,13955,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9328962053571429,resize_no_crs
124953,13956,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8833506058673469,resize_no_crs
124974,13957,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7790975765306123,resize_no_crs
124992,13958,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8443279655612245,resize_no_crs
125014,13959,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8679448341836735,resize_no_crs
125036,13960,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8864795918367347,resize_no_crs
125057,13961,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8448461415816326,resize_no_crs
125077,13962,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8383888711734694,resize_no_crs
125099,13963,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8316924426020408,resize_no_crs
125118,13964,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8816964285714286,resize_no_crs
125142,13965,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6689652423469388,resize_no_crs
125164,13966,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8037906568877551,resize_no_crs
125194,13967,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9947783801020408,resize_no_crs
125220,13968,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8457230548469388,resize_no_crs
125245,13969,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8372130102040817,resize_no_crs
125273,13970,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125295,13971,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125315,13972,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125335,13973,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125356,13974,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125375,13975,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125405,13976,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125431,13977,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125454,13978,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125476,13979,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125510,13980,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125542,13981,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125572,13982,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125609,13983,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125631,13984,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125658,13985,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
142784,16009,emi20230823t092349p06005-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
142866,16010,emi20230823t092349p06005-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161391,17780,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9308124701004624,resize_no_crs
161411,17781,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161434,17782,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161455,17783,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161481,17784,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9999800701530612,resize_no_crs
161508,17785,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161539,17786,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9991031568877551,resize_no_crs
161560,17787,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9994419642857143,resize_no_crs
161571,17788,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161588,17789,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9577212111547432,resize_no_crs
161603,17790,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9999800701530612,resize_no_crs
161615,17791,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9999402104591837,resize_no_crs
161630,17792,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9999800701530612,resize_no_crs
161643,17793,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161660,17794,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9994419642857143,resize_no_crs
161682,17795,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9972297512755102,resize_no_crs
161700,17796,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161711,17797,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161720,17798,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161728,17799,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161737,17800,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161746,17801,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161755,17802,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161768,17803,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161777,17804,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161788,17805,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161794,17806,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161797,17807,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161802,17808,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161808,17809,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
